Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Community Hospital Inc.,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$60.50,AL
Community Hospital Inc.,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$180.50,AL
Community Hospital Inc.,Emergency Care,HCPCS 99281,Emergency Level 1,$10.00,AL
Community Hospital Inc.,Emergency Care,HCPCS 99282,Emergency Level 2,$43.50,AL
Community Hospital Inc.,Emergency Care,HCPCS 99283,Emergency Level 3,$69.00,AL
Community Hospital Inc.,Emergency Care,HCPCS 99284,Emergency Level 4,$112.00,AL
Community Hospital Inc.,Emergency Care,HCPCS 99285,Emergency Level 5,$154.00,AL
Community Hospital Inc.,Hospital,HCPCS 99234,Hospital observation care discharge,$90.00,AL
Community Hospital Inc.,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$79.00,AL
Community Hospital Inc.,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$113.50,AL
Community Hospital Inc.,Hospital,HCPCS 99218,Hospital Observation per Hour,$54.50,AL
Community Hospital Inc.,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",$25.00,AL
Community Hospital Inc.,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$122.50,AL
Community Hospital Inc.,Speech,HCPCS 92507,Speech Therapy,$56.00,AL
Community Hospital Inc.,Speech,HCPCS 92610,Swallow Evaluation,$67.00,AL
Community Hospital Inc.,Speech,HCPCS 92526,Swallow Treatment,$62.50,AL
Community Hospital Inc.,Blood,HCPCS 85018,"Blood count, hemoglobin",$8.00,AL
Community Hospital Inc.,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$8.00,AL
Community Hospital Inc.,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$26.00,AL
Community Hospital Inc.,Blood,HCPCS 85610,"Blood test, clotting time",$13.00,AL
Community Hospital Inc.,Blood,HCPCS 85730,Coagulation assessment blood test,$13.50,AL
Community Hospital Inc.,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$23.00,AL
Community Hospital Inc.,Blood,HCPCS 85027,"Complete blood count, automated",$14.50,AL
Community Hospital Inc.,Blood,HCPCS 85008,Microscopic examination for white blood cells,$9.50,AL
Community Hospital Inc.,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$13.50,AL
Community Hospital Inc.,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$41.50,AL
Community Hospital Inc.,Blood,HCPCS 85660,Red blood cell sickling measurement,$45.00,AL
Community Hospital Inc.,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$191.00,AL
Community Hospital Inc.,Blood,HCPCS 85041,"Red blood count, automated test",$9.50,AL
