Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
North Alabama Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,AL
North Alabama Medical Center,Speech,HCPCS 92507,Speech Therapy,-,AL
North Alabama Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,AL
North Alabama Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,AL
North Alabama Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,AL
North Alabama Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,AL
North Alabama Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,AL
North Alabama Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,AL
North Alabama Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,-,AL
North Alabama Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,AL
North Alabama Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",-,AL
North Alabama Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,AL
North Alabama Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",-,AL
North Alabama Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,-,AL
North Alabama Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,AL
North Alabama Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,AL
North Alabama Medical Center,Chemistry,HCPCS 82140,Ammonia level,-,AL
North Alabama Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,AL
North Alabama Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,AL
North Alabama Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,-,AL
North Alabama Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),-,AL
North Alabama Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),-,AL
North Alabama Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,-,AL
North Alabama Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,-,AL
