Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St. Vincent's East,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,AL
St. Vincent's East,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,AL
St. Vincent's East,Cardiac,MSDRG 227,Cardiac defibrillator implant without cardiac catherization,-,AL
St. Vincent's East,Cardiac,MSDRG 216,Cardiac valve procedure,-,AL
St. Vincent's East,Cardiac,MSDRG 234,Coronary bypass with cardiac catheterization,-,AL
St. Vincent's East,Cardiac,MSDRG 236,Coronary bypass without cardiac catheterization,-,AL
St. Vincent's East,Cardiac,MSDRG 247,Implant drug-eluting stent,-,AL
St. Vincent's East,Cardiac,MSDRG 244,Implant Permanent Cardiac Pacemaker,-,AL
St. Vincent's East,Female Reproductive,MSDRG 743,"Uterine and adnexa procedures, non-malignancy",-,AL
St. Vincent's East,Musculoskeletal,MSDRG 455,Bi-lateral (combined anterior/posterior) spinal fusion,-,AL
St. Vincent's East,Musculoskeletal,MSDRG 470,Joint replacement (hip or knee),-,AL
St. Vincent's East,Musculoskeletal,MSDRG 473,Spinal fusion (cervical),-,AL
St. Vincent's East,Musculoskeletal,MSDRG 460,Spinal fusion (non-cervical),-,AL
St. Vincent's East,Obstetrics,MSDRG 788,Cesarean Section (C-Section) Delivery of Child,-,AL
St. Vincent's East,Obstetrics,MSDRG 807,Vaginal Delivery of Child,-,AL
