Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Baptist Health Medical Center - Lr,Abdomenal,MSDRG 343,Appendectomy (Inpatient),"$8,563.14",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 52204,Biopsy of the bladder using an endoscope,"$2,862.38",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 47562,Cholecystectomy,"$4,484.47",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 47563,Cholecystectomy with cholangiography,"$5,239.50",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 52353,Crushing of stone in urinary duct (ureter) using an endoscope,"$3,053.23",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 52356,Crushing of stone in urinary duct (ureter) with stent using an endoscope,"$3,513.33",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 52000,Diagnostic examination of the bladder and bladder canal (urethra) using an endoscope,"$2,601.20",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 49505,Inguinal hernia repair (age over 5),"$4,686.16",AR
Baptist Health Medical Center - Lr,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),"$10,986.36",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 44970,Removal of appendix using an endoscope (Outpatient),"$7,365.24",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 52601,Removal of prostate through bladder canal (urethra) using an endoscope,"$3,374.13",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 49650,Repair of groin hernia using an endoscope,"$6,615.22",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 49654,Repair of incisional hernia using an endoscope,"$8,748.46",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 49653,Repair of trapped hernia using an endoscope,"$6,744.99",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 49507,Trapped inguinal hernia repair (age over 5),"$6,910.25",AR
Baptist Health Medical Center - Lr,Abdomenal,HCPCS 49585,Umbilical hernia repair (age over 5),"$4,673.47",AR
Baptist Health Medical Center - Lr,Breast,HCPCS 19325,Breast enlargement using prosthetic implant,"$4,533.35",AR
Baptist Health Medical Center - Lr,Breast,HCPCS 19120,Excision of cyst of breast,"$3,290.58",AR
Baptist Health Medical Center - Lr,Breast,HCPCS 19301,Partial removal of breast,"$5,888.15",AR
Baptist Health Medical Center - Lr,Breast,HCPCS 19318,Reduction mammaplasty,"$5,749.45",AR
Baptist Health Medical Center - Lr,Breast,HCPCS 19307,Removal of breast and underarm lymph nodes,"$5,658.76",AR
Baptist Health Medical Center - Lr,Breast,HCPCS 19303,Total removal of breast,"$8,364.29",AR
Baptist Health Medical Center - Lr,Cardiac,MSDRG 227,Cardiac defibrillator implant without cardiac catherization,"$31,161.18",AR
Baptist Health Medical Center - Lr,Cardiac,MSDRG 216,Cardiac valve procedure,"$74,608.26",AR
Baptist Health Medical Center - Lr,Cardiac,MSDRG 234,Coronary bypass with cardiac catheterization,"$40,789.10",AR
Baptist Health Medical Center - Lr,Cardiac,MSDRG 236,Coronary bypass without cardiac catheterization,"$34,012.28",AR
Baptist Health Medical Center - Lr,Cardiac,HCPCS 33249,Defibrillator complete system,"$25,575.04",AR
Baptist Health Medical Center - Lr,Cardiac,MSDRG 247,Implant drug-eluting stent,"$12,634.60",AR
Baptist Health Medical Center - Lr,Cardiac,MSDRG 244,Implant Permanent Cardiac Pacemaker,"$8,693.13",AR
Baptist Health Medical Center - Lr,Cardiac,HCPCS 33228,Replacement of dual lead permanent pacemaker pulse generator,"$5,060.48",AR
Baptist Health Medical Center - Lr,Digestive,HCPCS 45378,"Colonoscopy, diagnostic",$895.76,AR
Baptist Health Medical Center - Lr,Digestive,HCPCS 45380,"Colonoscopy, with biopsy","$1,731.96",AR
Baptist Health Medical Center - Lr,Digestive,HCPCS 45384,"Colonoscopy, with tumor removal","$1,504.39",AR
Baptist Health Medical Center - Lr,Digestive,HCPCS 45385,"Colonoscopy, with tumor removal (SNARE)","$1,561.25",AR
Baptist Health Medical Center - Lr,Digestive,HCPCS 43235,EGD,"$1,654.25",AR
Baptist Health Medical Center - Lr,Digestive,HCPCS 43239,EGD and biopsy,"$1,841.76",AR
Baptist Health Medical Center - Lr,Digestive,HCPCS 46255,Removal of internal and external hemorrhoids,"$4,453.23",AR
Baptist Health Medical Center - Lr,Digestive,HCPCS 46260,Removal of multiple internal and external hemorrhoid groups,"$4,538.54",AR
Baptist Health Medical Center - Lr,Digestive,HCPCS 45391,Ultrasound of lower large bowel using an endoscope,$998.52,AR
Baptist Health Medical Center - Lr,Female Reproductive,MSDRG 743,"Uterine and adnexa procedures, non-malignancy","$7,373.27",AR
Baptist Health Medical Center - Lr,Foot,HCPCS 28296,Bunionectomy or repair of toe deformities,"$5,897.80",AR
Baptist Health Medical Center - Lr,General,HCPCS 10060,Drainage of Abscess,"$3,430.23",AR
Baptist Health Medical Center - Lr,General,HCPCS 10120,"Incision and removal of foreign body, subcutaneous tissues; simple","$2,386.63",AR
Baptist Health Medical Center - Lr,General,HCPCS 55866,Prostatectomy,"$10,844.02",AR
Baptist Health Medical Center - Lr,General,HCPCS 60240,Removal of thyroid,"$5,362.56",AR
Baptist Health Medical Center - Lr,General,HCPCS 12011,"Simple wound repair of face, including ears; 2.5 cm or less","$4,433.44",AR
Baptist Health Medical Center - Lr,General,HCPCS 12001,"Simple wound repair of scalp, neck, external genitalia; 2.5 cm or less","$3,764.59",AR
Baptist Health Medical Center - Lr,Head,HCPCS 69436,Create eardrum opening,"$4,507.65",AR
Baptist Health Medical Center - Lr,Head,HCPCS 69930,Implantation of cochlear device,"$17,865.71",AR
