Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Encompass Health Rehabilitation Hospital of Fort Smith,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$21.75,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Blood,HCPCS 85027,"Complete blood count, automated",$34.50,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$12.00,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$19.50,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$24.00,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.75,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.00,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.25,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$74.25,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,AR
Encompass Health Rehabilitation Hospital of Fort Smith,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$326.25,AR
Encompass Health Rehabilitation Hospital of Fort Smith,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,119.00",AR
Encompass Health Rehabilitation Hospital of Fort Smith,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",$585.00,AR
Encompass Health Rehabilitation Hospital of Fort Smith,MRI,HCPCS 72148,MRI lumbar spine without contrast material,$669.00,AR
Encompass Health Rehabilitation Hospital of Fort Smith,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$1,119.00",AR
Encompass Health Rehabilitation Hospital of Fort Smith,MRI,HCPCS 73721,MRI scan of leg joint,"$1,069.50",AR
Encompass Health Rehabilitation Hospital of Fort Smith,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$326.25,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,AR
Encompass Health Rehabilitation Hospital of Fort Smith,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$326.25,AR
