Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Nea Baptist Memorial Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$156.56,AR
Nea Baptist Memorial Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$391.40,AR
Nea Baptist Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$62.70,AR
Nea Baptist Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$94.81,AR
Nea Baptist Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$134.90,AR
Nea Baptist Memorial Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$178.22,AR
Nea Baptist Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$291.65,AR
Nea Baptist Memorial Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$55.10,AR
Nea Baptist Memorial Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$49.21,AR
Nea Baptist Memorial Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$62.13,AR
Nea Baptist Memorial Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$31.92,AR
Nea Baptist Memorial Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$97.66,AR
Nea Baptist Memorial Hospital,Speech,HCPCS 92507,Speech Therapy,$61.94,AR
Nea Baptist Memorial Hospital,Speech,HCPCS 92610,Swallow Evaluation,$88.92,AR
Nea Baptist Memorial Hospital,Speech,HCPCS 92526,Swallow Treatment,$34.39,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$15.58,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$15.96,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$55.10,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$55.10,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$25.65,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$30.40,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$32.49,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$27.74,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$23.94,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$5.70,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$32.68,AR
Nea Baptist Memorial Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$17.10,AR
Nea Baptist Memorial Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$178.79,AR
Nea Baptist Memorial Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$38.76,AR
Nea Baptist Memorial Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$45.79,AR
Nea Baptist Memorial Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$5.70,AR
