Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,017.65",AR
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$579.04,AR
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$579.04,AR
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$579.04,AR
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$579.04,AR
St. Bernards Five Rivers Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$579.04,AR
St. Bernards Five Rivers Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$196.57,AR
St. Bernards Five Rivers Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$196.57,AR
St. Bernards Five Rivers Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$172.25,AR
St. Bernards Five Rivers Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$449.15,AR
St. Bernards Five Rivers Medical Center,Speech,HCPCS 92526,Swallow Treatment,$123.50,AR
St. Bernards Five Rivers Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$4.97,AR
St. Bernards Five Rivers Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$4.99,AR
St. Bernards Five Rivers Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$32.50,AR
St. Bernards Five Rivers Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$30.43,AR
St. Bernards Five Rivers Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$12.69,AR
St. Bernards Five Rivers Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$22.89,AR
St. Bernards Five Rivers Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$22.89,AR
St. Bernards Five Rivers Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$8.24,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$184.60,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$15.28,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82140,Ammonia level,$62.99,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$8.45,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$67.01,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$12.35,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$12.35,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$8.65,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$16.07,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$9.14,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$37.52,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82310,Calcium level,$8.26,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$83.20,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$56.88,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$13.29,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$76.28,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$156.31,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$51.40,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$72.66,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$65.26,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$46.22,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$151.45,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$151.45,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$75.40,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$42.46,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 83540,Iron level,$49.04,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$157.13,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$47.66,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$35.04,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$15.59,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 83970,Parathormone,$315.19,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$113.52,AR
St. Bernards Five Rivers Medical Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$26.46,AR
