Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Abrazo Arrowhead Campus,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$33,207.01",AZ
Abrazo Arrowhead Campus,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$42,291.05",AZ
Abrazo Arrowhead Campus,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,476.03",AZ
Abrazo Arrowhead Campus,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,388.86",AZ
Abrazo Arrowhead Campus,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,928.63",AZ
Abrazo Arrowhead Campus,Emergency Care,HCPCS 99285,Emergency Level 5,"$8,005.94",AZ
Abrazo Arrowhead Campus,Hospital,HCPCS 99218,Hospital Observation per Hour,"$24,529.04",AZ
Abrazo Arrowhead Campus,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$2,489.99",AZ
Abrazo Arrowhead Campus,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,973.50",AZ
Abrazo Arrowhead Campus,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$1,973.43",AZ
Abrazo Arrowhead Campus,Speech,HCPCS 92610,Swallow Evaluation,"$21,109.32",AZ
Abrazo Arrowhead Campus,Blood,HCPCS 85018,"Blood count, hemoglobin",$69.61,AZ
Abrazo Arrowhead Campus,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$95.87,AZ
Abrazo Arrowhead Campus,Blood,HCPCS 85610,"Blood test, clotting time",$191.69,AZ
Abrazo Arrowhead Campus,Blood,HCPCS 85730,Coagulation assessment blood test,$231.84,AZ
Abrazo Arrowhead Campus,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$294.96,AZ
Abrazo Arrowhead Campus,Blood,HCPCS 85027,"Complete blood count, automated",$256.45,AZ
Abrazo Arrowhead Campus,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$103.82,AZ
Abrazo Arrowhead Campus,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit","$22,456.90",AZ
Abrazo Arrowhead Campus,Chemistry,HCPCS 82150,Amylase (enzyme) level,$302.07,AZ
Abrazo Arrowhead Campus,Chemistry,HCPCS 84439,Assay of free thyroxine,$46.87,AZ
