Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Abrazo Scottsdale Campus,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$28,088.84",AZ
Abrazo Scottsdale Campus,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$23,470.91",AZ
Abrazo Scottsdale Campus,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,170.84",AZ
Abrazo Scottsdale Campus,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,457.62",AZ
Abrazo Scottsdale Campus,Emergency Care,HCPCS 99284,Emergency Level 4,"$9,956.45",AZ
Abrazo Scottsdale Campus,Emergency Care,HCPCS 99285,Emergency Level 5,"$14,315.66",AZ
Abrazo Scottsdale Campus,Hospital,HCPCS 99218,Hospital Observation per Hour,"$26,376.83",AZ
Abrazo Scottsdale Campus,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,622.14",AZ
Abrazo Scottsdale Campus,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$2,492.69",AZ
Abrazo Scottsdale Campus,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$3,931.40",AZ
Abrazo Scottsdale Campus,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,"$22,364.30",AZ
Abrazo Scottsdale Campus,Speech,HCPCS 92507,Speech Therapy,"$6,106.36",AZ
Abrazo Scottsdale Campus,Speech,HCPCS 92610,Swallow Evaluation,"$14,951.95",AZ
Abrazo Scottsdale Campus,Speech,HCPCS 92526,Swallow Treatment,"$5,222.27",AZ
Abrazo Scottsdale Campus,Blood,HCPCS 85018,"Blood count, hemoglobin",$74.99,AZ
Abrazo Scottsdale Campus,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$82.53,AZ
Abrazo Scottsdale Campus,Blood,HCPCS 85610,"Blood test, clotting time",$189.65,AZ
Abrazo Scottsdale Campus,Blood,HCPCS 85730,Coagulation assessment blood test,$288.23,AZ
Abrazo Scottsdale Campus,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$287.99,AZ
Abrazo Scottsdale Campus,Blood,HCPCS 85027,"Complete blood count, automated",$181.28,AZ
Abrazo Scottsdale Campus,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$89.16,AZ
Abrazo Scottsdale Campus,Chemistry,HCPCS 82140,Ammonia level,$239.18,AZ
Abrazo Scottsdale Campus,Chemistry,HCPCS 82150,Amylase (enzyme) level,$237.15,AZ
Abrazo Scottsdale Campus,Chemistry,HCPCS 84439,Assay of free thyroxine,$161.72,AZ
Abrazo Scottsdale Campus,Chemistry,HCPCS 82565,Blood creatinine level,$147.58,AZ
Abrazo Scottsdale Campus,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$330.77,AZ
Abrazo Scottsdale Campus,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$254.69,AZ
Abrazo Scottsdale Campus,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$307.19,AZ
