Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Enloe Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,915.55",CA
Enloe Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$5,831.10",CA
Enloe Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$283.05,CA
Enloe Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$517.50,CA
Enloe Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,258.65",CA
Enloe Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,146.50",CA
Enloe Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,973.60",CA
Enloe Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$142.65,CA
Enloe Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$194.40,CA
Enloe Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$107.55,CA
Enloe Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$143.55,CA
Enloe Medical Center,Speech,HCPCS 92507,Speech Therapy,$58.05,CA
Enloe Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$85.05,CA
Enloe Medical Center,Speech,HCPCS 92526,Swallow Treatment,$66.60,CA
Enloe Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$2.25,CA
Enloe Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$159.75,CA
Enloe Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$279.45,CA
Enloe Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$61.65,CA
Enloe Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$3.48,CA
Enloe Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$72.00,CA
Enloe Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$31.95,CA
Enloe Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$149.85,CA
Enloe Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$14.85,CA
Enloe Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$7.14,CA
Enloe Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$2.03,CA
Enloe Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$114.30,CA
Enloe Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$15.08,CA
Enloe Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$18.92,CA
Enloe Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$20.70,CA
Enloe Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$6.58,CA
Enloe Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$175.50,CA
Enloe Medical Center,Chemistry,HCPCS 82140,Ammonia level,$278.10,CA
Enloe Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$89.55,CA
Enloe Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$7.16,CA
Enloe Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$357.30,CA
Enloe Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$90.00,CA
Enloe Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$6.59,CA
Enloe Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$21.15,CA
Enloe Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$19.78,CA
Enloe Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$43.20,CA
Enloe Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$14.37,CA
Enloe Medical Center,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$23.85,CA
Enloe Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$43.20,CA
Enloe Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$43.20,CA
Enloe Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$14.37,CA
Enloe Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$7.95,CA
Enloe Medical Center,Chemistry,HCPCS 82310,Calcium level,$8.76,CA
Enloe Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$43.20,CA
Enloe Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$175.50,CA
Enloe Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$14.37,CA
Enloe Medical Center,Chemistry,HCPCS 82525,Copper level,$6.08,CA
Enloe Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$106.20,CA
Enloe Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$8.02,CA
Enloe Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$166.05,CA
Enloe Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$129.60,CA
Enloe Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$11.29,CA
Enloe Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$14.93,CA
Enloe Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$317.70,CA
Enloe Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$129.60,CA
Enloe Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$2.74,CA
Enloe Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$19.78,CA
Enloe Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$31.05,CA
Enloe Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$96.75,CA
