Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Foothill Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,642.65",CA
Foothill Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,642.65",CA
Foothill Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,642.65",CA
Foothill Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,642.65",CA
Foothill Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,642.65",CA
Foothill Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$4,195.33",CA
Foothill Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$4,195.33",CA
Foothill Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$119.26,CA
Foothill Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$166.08,CA
Foothill Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$191.27,CA
Foothill Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$191.27,CA
Foothill Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$159.59,CA
Foothill Regional Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$429.00,CA
Foothill Regional Medical Center,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$93.52,CA
Foothill Regional Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$280.57,CA
Foothill Regional Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$174.29,CA
Foothill Regional Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$215.36,CA
Foothill Regional Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$147.47,CA
Foothill Regional Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$146.72,CA
Foothill Regional Medical Center,Chemistry,HCPCS 82270,Stool analysis for blood,$73.79,CA
Foothill Regional Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$142.64,CA
Foothill Regional Medical Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$383.10,CA
Foothill Regional Medical Center,Microbiology,HCPCS 87635,Covid-19 current infection test,$114.33,CA
Foothill Regional Medical Center,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),$145.00,CA
Foothill Regional Medical Center,Microbiology,HCPCS 87045,Stool Culture,$171.60,CA
Foothill Regional Medical Center,Microbiology,HCPCS 87804,Test for Influenza Virus,$231.66,CA
Foothill Regional Medical Center,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$471.90,CA
Foothill Regional Medical Center,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$595.49,CA
Foothill Regional Medical Center,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$198.44,CA
Foothill Regional Medical Center,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$442.73,CA
Foothill Regional Medical Center,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$105.89,CA
Foothill Regional Medical Center,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,$459.47,CA
Foothill Regional Medical Center,Transfusion,HCPCS 86900,"Blood Typing, ABO",$185.33,CA
Foothill Regional Medical Center,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$185.33,CA
Foothill Regional Medical Center,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$447.02,CA
Foothill Regional Medical Center,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$116.89,CA
Foothill Regional Medical Center,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$116.89,CA
Foothill Regional Medical Center,Urinalysis,HCPCS 81025,Urine Pregnancy Test,$181.87,CA
Foothill Regional Medical Center,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",$938.44,CA
Foothill Regional Medical Center,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",$335.73,CA
Foothill Regional Medical Center,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,"$1,509.01",CA
Foothill Regional Medical Center,Pulmonary,HCPCS 94640,Aerosol Treatment,"$2,184.76",CA
Foothill Regional Medical Center,Pulmonary,HCPCS 94618,Pulmonary stress test,"$1,389.10",CA
Foothill Regional Medical Center,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,"$4,998.73",CA
Foothill Regional Medical Center,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast","$3,222.20",CA
Foothill Regional Medical Center,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material","$3,172.60",CA
Foothill Regional Medical Center,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$9,155.31",CA
Foothill Regional Medical Center,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,"$5,289.74",CA
Foothill Regional Medical Center,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material","$2,529.38",CA
Foothill Regional Medical Center,MRI,HCPCS 72146,MRI chest spine without contrast material,"$3,949.37",CA
Foothill Regional Medical Center,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$3,949.37",CA
Foothill Regional Medical Center,Ultrasound,HCPCS 76770,"Ultrasound exam of abdomenal back wall, complete",$966.11,CA
Foothill Regional Medical Center,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete","$1,136.85",CA
Foothill Regional Medical Center,Ultrasound,HCPCS 76705,"Ultrasound of abdomen, limited","$1,136.85",CA
Foothill Regional Medical Center,Ultrasound,HCPCS 76856,"Ultrasound, pelvic, complete","$1,363.79",CA
Foothill Regional Medical Center,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal","$1,493.78",CA
Foothill Regional Medical Center,Chest,HCPCS 71046,X-ray of chest; 2 Views,$301.93,CA
Foothill Regional Medical Center,Chest,HCPCS 71045,X-ray of chest; Single View,$301.93,CA
Foothill Regional Medical Center,Head and Neck,HCPCS 70110,"X-ray of mandible, minimum of 4 views",$694.12,CA
Foothill Regional Medical Center,Hip and Pelvis,HCPCS 73502,"X-ray Hip and Pelvis, 2 Views",$458.17,CA
Foothill Regional Medical Center,Lower Limbs,HCPCS 73600,"X-ray Ankle, 2 Views",$897.64,CA
Foothill Regional Medical Center,Lower Limbs,HCPCS 73610,"X-ray Ankle, 3 Views",$897.64,CA
Foothill Regional Medical Center,Lower Limbs,HCPCS 73630,X-ray exam of foot,$897.64,CA
Foothill Regional Medical Center,Lower Limbs,HCPCS 73620,"X-ray Foot, 2 Views",$897.64,CA
Foothill Regional Medical Center,Lower Limbs,HCPCS 73590,"X-ray Lower Leg, 2 Views",$952.38,CA
Foothill Regional Medical Center,Abdomenal,HCPCS 47562,Cholecystectomy,"$29,302.49",CA
Foothill Regional Medical Center,Abdomenal,HCPCS 49505,Inguinal hernia repair (age over 5),"$18,132.91",CA
Foothill Regional Medical Center,Abdomenal,HCPCS 51702,Insertion of Indwelling Bladder Catheter,"$1,156.93",CA
Foothill Regional Medical Center,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),"$103,903.06",CA
Foothill Regional Medical Center,Abdomenal,HCPCS 44970,Removal of appendix using an endoscope (Outpatient),"$33,112.73",CA
Foothill Regional Medical Center,Abdomenal,HCPCS 49650,Repair of groin hernia using an endoscope,"$29,817.16",CA
Foothill Regional Medical Center,Abdomenal,HCPCS 50590,Shock wave crushing of kidney stones,"$16,351.76",CA
Foothill Regional Medical Center,Abdomenal,HCPCS 49585,Umbilical hernia repair (age over 5),"$18,132.91",CA
Foothill Regional Medical Center,Breast,HCPCS 19325,Breast enlargement using prosthetic implant,"$28,156.99",CA
Foothill Regional Medical Center,Breast,HCPCS 19120,Excision of cyst of breast,"$20,031.73",CA
Foothill Regional Medical Center,Breast,HCPCS 19301,Partial removal of breast,"$32,052.31",CA
Foothill Regional Medical Center,Digestive,HCPCS 45378,"Colonoscopy, diagnostic","$5,742.83",CA
Foothill Regional Medical Center,Digestive,HCPCS 45380,"Colonoscopy, with biopsy","$6,230.55",CA
Foothill Regional Medical Center,Digestive,HCPCS 45384,"Colonoscopy, with tumor removal","$6,033.30",CA
Foothill Regional Medical Center,Digestive,HCPCS 45385,"Colonoscopy, with tumor removal (SNARE)","$6,033.30",CA
Foothill Regional Medical Center,Digestive,HCPCS 43235,EGD,"$4,616.28",CA
Foothill Regional Medical Center,Digestive,HCPCS 43239,EGD and biopsy,"$5,680.79",CA
Foothill Regional Medical Center,Digestive,HCPCS 46255,Removal of internal and external hemorrhoids,"$22,998.69",CA
Foothill Regional Medical Center,General,HCPCS 10060,Drainage of Abscess,"$7,782.37",CA
Foothill Regional Medical Center,General,HCPCS 10120,"Incision and removal of foreign body, subcutaneous tissues; simple","$3,651.22",CA
Foothill Regional Medical Center,General,HCPCS 12002,Repair of Wound (2.6 to 7.5 centimeters),"$5,693.69",CA
Foothill Regional Medical Center,General,HCPCS 12011,"Simple wound repair of face, including ears; 2.5 cm or less","$5,693.69",CA
Foothill Regional Medical Center,General,HCPCS 12001,"Simple wound repair of scalp, neck, external genitalia; 2.5 cm or less","$5,693.69",CA
Foothill Regional Medical Center,Intraoral,HCPCS 42826,Tonsil removal (patient 12 and over),"$10,690.56",CA
Foothill Regional Medical Center,Musculoskeletal,MSDRG 455,Bi-lateral (combined anterior/posterior) spinal fusion,"$359,500.83",CA
Foothill Regional Medical Center,Musculoskeletal,HCPCS 64483,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,"$8,764.67",CA
Foothill Regional Medical Center,Musculoskeletal,HCPCS 20610,Joint arthrocentesis,"$8,042.95",CA
Foothill Regional Medical Center,Musculoskeletal,MSDRG 470,Joint replacement (hip or knee),"$68,154.39",CA
Foothill Regional Medical Center,Musculoskeletal,HCPCS 29881,Knee arthroscopic cartilage removal,"$11,386.26",CA
Foothill Regional Medical Center,Musculoskeletal,HCPCS 29877,Knee arthroscopic chrondoplasty,"$11,386.26",CA
Foothill Regional Medical Center,Musculoskeletal,HCPCS 29824,Shoulder arthroscopy,"$9,487.21",CA
Foothill Regional Medical Center,Musculoskeletal,MSDRG 460,Spinal fusion (non-cervical),"$359,500.83",CA
