Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Good Samaritan Hospital - San Jose,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$6,720.00",CA
Good Samaritan Hospital - San Jose,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$13,440.00",CA
Good Samaritan Hospital - San Jose,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,851.00",CA
Good Samaritan Hospital - San Jose,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,611.00",CA
Good Samaritan Hospital - San Jose,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,730.00",CA
Good Samaritan Hospital - San Jose,Emergency Care,HCPCS 99284,Emergency Level 4,"$7,268.00",CA
Good Samaritan Hospital - San Jose,Emergency Care,HCPCS 99285,Emergency Level 5,"$11,162.00",CA
Good Samaritan Hospital - San Jose,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,464.00",CA
Good Samaritan Hospital - San Jose,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$2,167.00",CA
Good Samaritan Hospital - San Jose,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$1,151.00",CA
Good Samaritan Hospital - San Jose,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min","$1,267.00",CA
Good Samaritan Hospital - San Jose,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min","$1,267.00",CA
Good Samaritan Hospital - San Jose,Psychology,HCPCS 90853,Group psychotherapy,"$1,056.00",CA
Good Samaritan Hospital - San Jose,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,"$1,056.00",CA
Good Samaritan Hospital - San Jose,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$943.00,CA
Good Samaritan Hospital - San Jose,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient","$1,267.00",CA
Good Samaritan Hospital - San Jose,Psychology,HCPCS 90837,"Psychotherapy, 60 min","$1,510.00",CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 85018,"Blood count, hemoglobin",$54.00,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$177.00,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$935.00,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 85610,"Blood test, clotting time",$661.00,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 85730,Coagulation assessment blood test,$13.80,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$531.00,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 85027,"Complete blood count, automated",$739.00,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 85008,Microscopic examination for white blood cells,$123.00,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$330.00,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$17.00,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS 85660,Red blood cell sickling measurement,$589.00,CA
Good Samaritan Hospital - San Jose,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$220.00,CA
Good Samaritan Hospital - San Jose,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$29.00,CA
Good Samaritan Hospital - San Jose,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$12.00,CA
Good Samaritan Hospital - San Jose,Chemistry,HCPCS 82040,Albumin (protein) level,$336.00,CA
Good Samaritan Hospital - San Jose,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$77.60,CA
Good Samaritan Hospital - San Jose,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$5.00,CA
Good Samaritan Hospital - San Jose,Chemistry,HCPCS 82140,Ammonia level,"$1,065.00",CA
Good Samaritan Hospital - San Jose,Chemistry,HCPCS 82150,Amylase (enzyme) level,$984.00,CA
Good Samaritan Hospital - San Jose,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$4.00,CA
