Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Kaiser Foundation Hospital - Oakland Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$270.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$340.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$180.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$750.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$600.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$500.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$300.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$400.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$500.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$114.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$191.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$170.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$150.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$219.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$250.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$300.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$204.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$250.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$226.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Organ or Disease Oriented Panels,HCPCS 80055,Obstetric blood test panel,$581.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$91.00,CA
Kaiser Foundation Hospital - Oakland Medical Center,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$109.00,CA
