Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Los Angeles Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,865.92",CA
Los Angeles Community Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,"$3,373.24",CA
Los Angeles Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$3,373.24",CA
Los Angeles Community Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$3,373.24",CA
Los Angeles Community Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,373.24",CA
Los Angeles Community Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,373.24",CA
Los Angeles Community Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$162.01,CA
Los Angeles Community Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$206.29,CA
Los Angeles Community Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$230.75,CA
Los Angeles Community Hospital,Chemistry,HCPCS 82140,Ammonia level,$214.14,CA
Los Angeles Community Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$184.94,CA
Los Angeles Community Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$497.50,CA
Los Angeles Community Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$244.60,CA
Los Angeles Community Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$100.61,CA
Los Angeles Community Hospital,Chemistry,HCPCS 84132,Blood potassium level,$170.76,CA
Los Angeles Community Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$324.90,CA
Los Angeles Community Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$205.63,CA
Los Angeles Community Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$249.21,CA
Los Angeles Community Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$164.74,CA
Los Angeles Community Hospital,Chemistry,HCPCS 83735,Magnesium Level,$204.38,CA
Los Angeles Community Hospital,Chemistry,HCPCS 82270,Stool analysis for blood,$79.38,CA
Los Angeles Community Hospital,Chemistry,HCPCS 84166,Troponin (protein) analysis,$5.09,CA
