Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Mills-Peninsula Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$330.00,CA
Mills-Peninsula Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$264.60,CA
Mills-Peninsula Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$171.60,CA
Mills-Peninsula Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$141.60,CA
Mills-Peninsula Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$202.20,CA
Mills-Peninsula Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$280.80,CA
Mills-Peninsula Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$14.40,CA
Mills-Peninsula Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$27.00,CA
Mills-Peninsula Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$40.20,CA
Mills-Peninsula Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$48.60,CA
Mills-Peninsula Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$43.20,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$79.20,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$39.60,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$62.40,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$30.60,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$31.80,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$27.00,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$28.80,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$28.80,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$34.80,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$116.40,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82310,Calcium level,$31.80,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$115.20,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$27.00,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$102.00,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$39.60,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$91.20,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$83.40,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$88.20,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$43.20,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$67.20,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$69.60,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 83540,Iron level,$39.60,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$36.60,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 83721,LDL cholesterol level,$57.00,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$42.60,CA
Mills-Peninsula Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$35.40,CA
