Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Saddleback Memorial Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,CA
Saddleback Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,CA
Saddleback Memorial Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,-,CA
Saddleback Memorial Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,-,CA
Saddleback Memorial Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,-,CA
Saddleback Memorial Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,-,CA
Saddleback Memorial Medical Center,Immunology,HCPCS 86580,Skin test for tuberculosis,-,CA
Saddleback Memorial Medical Center,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,-,CA
Saddleback Memorial Medical Center,Transfusion,HCPCS 86900,"Blood Typing, ABO",-,CA
Saddleback Memorial Medical Center,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",-,CA
Saddleback Memorial Medical Center,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,-,CA
Saddleback Memorial Medical Center,Transfusion,HCPCS 86945,"Irradiation blood product, each unit",-,CA
Saddleback Memorial Medical Center,Transfusion,HCPCS 86880,Red blood cell (RBC) antibody detection test,-,CA
Saddleback Memorial Medical Center,Transfusion,HCPCS 86906,Screening test for compatible blood unit,-,CA
Saddleback Memorial Medical Center,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,-,CA
Saddleback Memorial Medical Center,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",-,CA
Saddleback Memorial Medical Center,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",-,CA
Saddleback Memorial Medical Center,Cardiovascular,HCPCS 93041,Heart rhythm symptom-related tracing of 24-hour EKG monitoring up to 30 days,-,CA
Saddleback Memorial Medical Center,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,-,CA
Saddleback Memorial Medical Center,Cardiovascular,HCPCS 93660,Tilt table test to evaluate heart (for unexplained fainting),-,CA
Saddleback Memorial Medical Center,Cardiovascular,HCPCS 93975,Ultrasound Heart,-,CA
Saddleback Memorial Medical Center,Pulmonary,HCPCS 94640,Aerosol Treatment,-,CA
Saddleback Memorial Medical Center,Pulmonary,HCPCS 94618,Pulmonary stress test,-,CA
Saddleback Memorial Medical Center,Pulmonary,HCPCS 94010,Spirometry - breathing test,-,CA
Saddleback Memorial Medical Center,Sleep,HCPCS 95810,Sleep study,-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material",-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",-,CA
Saddleback Memorial Medical Center,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)",-,CA
Saddleback Memorial Medical Center,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)",-,CA
Saddleback Memorial Medical Center,MRI,HCPCS 72146,MRI chest spine without contrast material,-,CA
