Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Scripps Memorial Hospital La Jolla,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA
Scripps Memorial Hospital La Jolla,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,CA
Scripps Memorial Hospital La Jolla,Cardiac,MSDRG 227,Cardiac defibrillator implant without cardiac catherization,-,CA
Scripps Memorial Hospital La Jolla,Cardiac,MSDRG 216,Cardiac valve procedure,-,CA
Scripps Memorial Hospital La Jolla,Cardiac,MSDRG 234,Coronary bypass with cardiac catheterization,-,CA
Scripps Memorial Hospital La Jolla,Cardiac,MSDRG 236,Coronary bypass without cardiac catheterization,-,CA
Scripps Memorial Hospital La Jolla,Cardiac,MSDRG 247,Implant drug-eluting stent,-,CA
Scripps Memorial Hospital La Jolla,Cardiac,MSDRG 244,Implant Permanent Cardiac Pacemaker,-,CA
Scripps Memorial Hospital La Jolla,Female Reproductive,MSDRG 743,"Uterine and adnexa procedures, non-malignancy",-,CA
Scripps Memorial Hospital La Jolla,Musculoskeletal,MSDRG 455,Bi-lateral (combined anterior/posterior) spinal fusion,-,CA
Scripps Memorial Hospital La Jolla,Musculoskeletal,MSDRG 470,Joint replacement (hip or knee),-,CA
Scripps Memorial Hospital La Jolla,Musculoskeletal,MSDRG 473,Spinal fusion (cervical),-,CA
Scripps Memorial Hospital La Jolla,Musculoskeletal,MSDRG 460,Spinal fusion (non-cervical),-,CA
Scripps Memorial Hospital La Jolla,Obstetrics,MSDRG 788,Cesarean Section (C-Section) Delivery of Child,-,CA
Scripps Memorial Hospital La Jolla,Obstetrics,MSDRG 807,Vaginal Delivery of Child,-,CA
