Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Scripps Mercy Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,CA
Scripps Mercy Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,CA
Scripps Mercy Hospital,Cardiac,MSDRG 227,Cardiac defibrillator implant without cardiac catherization,-,CA
Scripps Mercy Hospital,Cardiac,MSDRG 216,Cardiac valve procedure,-,CA
Scripps Mercy Hospital,Cardiac,MSDRG 234,Coronary bypass with cardiac catheterization,-,CA
Scripps Mercy Hospital,Cardiac,MSDRG 236,Coronary bypass without cardiac catheterization,-,CA
Scripps Mercy Hospital,Cardiac,MSDRG 247,Implant drug-eluting stent,-,CA
Scripps Mercy Hospital,Cardiac,MSDRG 244,Implant Permanent Cardiac Pacemaker,-,CA
Scripps Mercy Hospital,Female Reproductive,MSDRG 743,"Uterine and adnexa procedures, non-malignancy",-,CA
Scripps Mercy Hospital,Musculoskeletal,MSDRG 455,Bi-lateral (combined anterior/posterior) spinal fusion,-,CA
Scripps Mercy Hospital,Musculoskeletal,MSDRG 470,Joint replacement (hip or knee),-,CA
Scripps Mercy Hospital,Musculoskeletal,MSDRG 473,Spinal fusion (cervical),-,CA
Scripps Mercy Hospital,Musculoskeletal,MSDRG 460,Spinal fusion (non-cervical),-,CA
Scripps Mercy Hospital,Obstetrics,MSDRG 788,Cesarean Section (C-Section) Delivery of Child,-,CA
Scripps Mercy Hospital,Obstetrics,MSDRG 807,Vaginal Delivery of Child,-,CA
