Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Castle Rock Adventist Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$5,465.00",CO
Castle Rock Adventist Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,448.68",CO
Castle Rock Adventist Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,448.68",CO
Castle Rock Adventist Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,448.68",CO
Castle Rock Adventist Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,448.68",CO
Castle Rock Adventist Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,448.68",CO
Castle Rock Adventist Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$131.69,CO
Castle Rock Adventist Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$131.69,CO
Castle Rock Adventist Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$131.69,CO
Castle Rock Adventist Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$131.69,CO
Castle Rock Adventist Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$95.60,CO
Castle Rock Adventist Hospital,Speech,HCPCS 92507,Speech Therapy,$70.30,CO
Castle Rock Adventist Hospital,Speech,HCPCS 92526,Swallow Treatment,$75.23,CO
Castle Rock Adventist Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$36.61,CO
Castle Rock Adventist Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$39.08,CO
Castle Rock Adventist Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$50.11,CO
Castle Rock Adventist Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$67.20,CO
Castle Rock Adventist Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$84.04,CO
Castle Rock Adventist Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$84.04,CO
Castle Rock Adventist Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$14.64,CO
Castle Rock Adventist Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$4.53,CO
Castle Rock Adventist Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$15.70,CO
Castle Rock Adventist Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$99.90,CO
Castle Rock Adventist Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$41.51,CO
Castle Rock Adventist Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$20.86,CO
Castle Rock Adventist Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$36.51,CO
Castle Rock Adventist Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$41.71,CO
Castle Rock Adventist Hospital,Chemistry,HCPCS 84295,Blood sodium level,$28.17,CO
Castle Rock Adventist Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$70.44,CO
