Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Denver Health,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$93.55,CO
Denver Health,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$93.55,CO
Denver Health,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$93.55,CO
Denver Health,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$93.55,CO
Denver Health,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$93.55,CO
Denver Health,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$93.55,CO
Denver Health,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$93.55,CO
Denver Health,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$106.45,CO
Denver Health,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$106.45,CO
Denver Health,Psychology,HCPCS 90853,Group psychotherapy,$165.48,CO
Denver Health,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$174.36,CO
Denver Health,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$174.36,CO
Denver Health,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$174.36,CO
Denver Health,Blood,HCPCS 85610,"Blood test, clotting time",$17.29,CO
Denver Health,Blood,HCPCS 85730,Coagulation assessment blood test,$19.95,CO
Denver Health,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$21.74,CO
Denver Health,Blood,HCPCS 85027,"Complete blood count, automated",$21.74,CO
Denver Health,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$43.52,CO
Denver Health,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$47.31,CO
Denver Health,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$55.61,CO
Denver Health,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$42.24,CO
Denver Health,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$38.96,CO
Denver Health,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$40.05,CO
Denver Health,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.20,CO
