Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Porter Adventist Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$5,740.32",CO
Porter Adventist Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,629.41",CO
Porter Adventist Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,629.41",CO
Porter Adventist Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,629.41",CO
Porter Adventist Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,629.41",CO
Porter Adventist Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,629.41",CO
Porter Adventist Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$277.67,CO
Porter Adventist Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$277.67,CO
Porter Adventist Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$277.67,CO
Porter Adventist Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$277.67,CO
Porter Adventist Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$277.67,CO
Porter Adventist Hospital,Psychology,HCPCS 90853,Group psychotherapy,$137.28,CO
Porter Adventist Hospital,Speech,HCPCS 92507,Speech Therapy,$68.42,CO
Porter Adventist Hospital,Speech,HCPCS 92610,Swallow Evaluation,$73.16,CO
Porter Adventist Hospital,Speech,HCPCS 92526,Swallow Treatment,$74.75,CO
Porter Adventist Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$37.06,CO
Porter Adventist Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$39.67,CO
Porter Adventist Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$50.42,CO
Porter Adventist Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$67.20,CO
Porter Adventist Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$84.63,CO
Porter Adventist Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$84.63,CO
Porter Adventist Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$14.30,CO
Porter Adventist Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$128.40,CO
Porter Adventist Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$18.60,CO
Porter Adventist Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$70.62,CO
Porter Adventist Hospital,Chemistry,HCPCS 82140,Ammonia level,$89.33,CO
Porter Adventist Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$91.15,CO
Porter Adventist Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$16.35,CO
Porter Adventist Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$99.63,CO
Porter Adventist Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$40.93,CO
Porter Adventist Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$22.17,CO
Porter Adventist Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$22.17,CO
Porter Adventist Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$34.64,CO
Porter Adventist Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$44.26,CO
Porter Adventist Hospital,Chemistry,HCPCS 84132,Blood potassium level,$24.64,CO
Porter Adventist Hospital,Chemistry,HCPCS 84295,Blood sodium level,$28.17,CO
Porter Adventist Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$45.86,CO
Porter Adventist Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$70.32,CO
Porter Adventist Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$79.06,CO
Porter Adventist Hospital,Chemistry,HCPCS 82465,Cholesterol level,$32.15,CO
Porter Adventist Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$27.35,CO
Porter Adventist Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$62.82,CO
Porter Adventist Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$23.95,CO
Porter Adventist Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$57.22,CO
Porter Adventist Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$50.65,CO
Porter Adventist Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$30.39,CO
Porter Adventist Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$40.92,CO
Porter Adventist Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$44.90,CO
Porter Adventist Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$68.76,CO
Porter Adventist Hospital,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$81.87,CO
Porter Adventist Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$33.78,CO
Porter Adventist Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$80.99,CO
Porter Adventist Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$49.97,CO
Porter Adventist Hospital,Chemistry,HCPCS 83540,Iron level,$65.57,CO
Porter Adventist Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$25.69,CO
Porter Adventist Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$101.49,CO
Porter Adventist Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$55.06,CO
Porter Adventist Hospital,Chemistry,HCPCS 83735,Magnesium Level,$28.16,CO
Porter Adventist Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$14.03,CO
Porter Adventist Hospital,Chemistry,HCPCS 83970,Parathormone,$174.25,CO
Porter Adventist Hospital,Chemistry,HCPCS 84157,Prealbumin (protein) level,$57.88,CO
Porter Adventist Hospital,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$81.87,CO
Porter Adventist Hospital,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$79.00,CO
Porter Adventist Hospital,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$57.88,CO
Porter Adventist Hospital,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$40.93,CO
Porter Adventist Hospital,Chemistry,HCPCS 84155,"Total protein level, blood",$57.88,CO
Porter Adventist Hospital,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$57.88,CO
Porter Adventist Hospital,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$61.78,CO
Porter Adventist Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$75.93,CO
Porter Adventist Hospital,Abdomenal,HCPCS 47562,Cholecystectomy,"$10,547.66",CO
Porter Adventist Hospital,Abdomenal,HCPCS 47563,Cholecystectomy with cholangiography,"$10,547.66",CO
Porter Adventist Hospital,Abdomenal,HCPCS 52356,Crushing of stone in urinary duct (ureter) with stent using an endoscope,"$9,666.37",CO
Porter Adventist Hospital,Abdomenal,HCPCS 52000,Diagnostic examination of the bladder and bladder canal (urethra) using an endoscope,$879.46,CO
Porter Adventist Hospital,Abdomenal,HCPCS 49505,Inguinal hernia repair (age over 5),"$5,637.03",CO
Porter Adventist Hospital,Abdomenal,HCPCS 51702,Insertion of Indwelling Bladder Catheter,$816.21,CO
Porter Adventist Hospital,Abdomenal,HCPCS 51701,Insertion of temporary bladder catheter,$816.21,CO
Porter Adventist Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),"$45,062.30",CO
Porter Adventist Hospital,Abdomenal,HCPCS 52648,Laser vaporization of prostate using an endoscope,"$8,206.21",CO
Porter Adventist Hospital,Abdomenal,HCPCS 44970,Removal of appendix using an endoscope (Outpatient),"$9,995.41",CO
Porter Adventist Hospital,Abdomenal,HCPCS 49650,Repair of groin hernia using an endoscope,"$11,381.69",CO
Porter Adventist Hospital,Abdomenal,HCPCS 49654,Repair of incisional hernia using an endoscope,"$11,381.69",CO
Porter Adventist Hospital,Abdomenal,HCPCS 49507,Trapped inguinal hernia repair (age over 5),"$5,637.03",CO
Porter Adventist Hospital,Abdomenal,HCPCS 49585,Umbilical hernia repair (age over 5),"$8,376.77",CO
Porter Adventist Hospital,Breast,HCPCS 19301,Partial removal of breast,"$5,637.77",CO
Porter Adventist Hospital,Cardiac,MSDRG 234,Coronary bypass with cardiac catheterization,"$54,968.43",CO
Porter Adventist Hospital,Cardiac,MSDRG 236,Coronary bypass without cardiac catheterization,"$54,968.43",CO
Porter Adventist Hospital,Cardiac,HCPCS 33249,Defibrillator complete system,"$76,996.04",CO
Porter Adventist Hospital,Cardiac,HCPCS 93451,Diagnostic heart catheterization (right side),"$7,926.07",CO
Porter Adventist Hospital,Cardiac,MSDRG 247,Implant drug-eluting stent,"$38,643.66",CO
Porter Adventist Hospital,Cardiac,HCPCS 33228,Replacement of dual lead permanent pacemaker pulse generator,"$18,107.18",CO
Porter Adventist Hospital,Digestive,HCPCS 45378,"Colonoscopy, diagnostic",$925.24,CO
Porter Adventist Hospital,Digestive,HCPCS 45380,"Colonoscopy, with biopsy","$1,100.80",CO
Porter Adventist Hospital,Digestive,HCPCS 45385,"Colonoscopy, with tumor removal (SNARE)","$1,286.66",CO
Porter Adventist Hospital,Digestive,HCPCS 43235,EGD,"$1,541.02",CO
Porter Adventist Hospital,Digestive,HCPCS 43239,EGD and biopsy,"$1,486.88",CO
Porter Adventist Hospital,Digestive,HCPCS 46255,Removal of internal and external hemorrhoids,"$5,302.58",CO
Porter Adventist Hospital,Digestive,HCPCS 46260,Removal of multiple internal and external hemorrhoid groups,"$5,302.58",CO
Porter Adventist Hospital,Female Reproductive,MSDRG 743,"Uterine and adnexa procedures, non-malignancy","$28,607.80",CO
Porter Adventist Hospital,Foot,HCPCS 28296,Bunionectomy or repair of toe deformities,"$6,053.89",CO
Porter Adventist Hospital,General,HCPCS 10060,Drainage of Abscess,"$1,077.13",CO
Porter Adventist Hospital,General,HCPCS 10120,"Incision and removal of foreign body, subcutaneous tissues; simple","$5,259.22",CO
Porter Adventist Hospital,General,HCPCS 12002,Repair of Wound (2.6 to 7.5 centimeters),"$1,732.11",CO
Porter Adventist Hospital,General,HCPCS 12005,Repair of Wound (7.6 to 12.5 cm),"$1,732.11",CO
Porter Adventist Hospital,General,HCPCS 12011,"Simple wound repair of face, including ears; 2.5 cm or less","$1,732.11",CO
Porter Adventist Hospital,General,HCPCS 12001,"Simple wound repair of scalp, neck, external genitalia; 2.5 cm or less","$1,732.11",CO
Porter Adventist Hospital,Head,HCPCS 69930,Implantation of cochlear device,"$66,763.88",CO
Porter Adventist Hospital,Head,HCPCS 67028,Injection of drug into the eye,$358.67,CO
Porter Adventist Hospital,Head,HCPCS 69631,Repair of eardrum,"$11,951.03",CO
Porter Adventist Hospital,Intraoral,HCPCS 42826,Tonsil removal (patient 12 and over),"$4,057.77",CO
Porter Adventist Hospital,Musculoskeletal,MSDRG 455,Bi-lateral (combined anterior/posterior) spinal fusion,"$93,546.03",CO
Porter Adventist Hospital,Musculoskeletal,HCPCS 62323,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,$879.43,CO
Porter Adventist Hospital,Musculoskeletal,HCPCS 62321,Injection of substance into spinal canal of upper or middle back using imaging guidance,$879.43,CO
Porter Adventist Hospital,Musculoskeletal,HCPCS 64483,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,"$1,019.79",CO
Porter Adventist Hospital,Musculoskeletal,HCPCS 20610,Joint arthrocentesis,"$1,237.32",CO
Porter Adventist Hospital,Musculoskeletal,MSDRG 470,Joint replacement (hip or knee),"$30,762.12",CO
Porter Adventist Hospital,Musculoskeletal,HCPCS 29881,Knee arthroscopic cartilage removal,"$6,559.84",CO
Porter Adventist Hospital,Musculoskeletal,HCPCS 29877,Knee arthroscopic chrondoplasty,"$6,559.84",CO
Porter Adventist Hospital,Musculoskeletal,MSDRG 473,Spinal fusion (cervical),"$57,263.60",CO
Porter Adventist Hospital,Musculoskeletal,MSDRG 460,Spinal fusion (non-cervical),"$93,546.03",CO
Porter Adventist Hospital,Musculoskeletal,HCPCS 29580,"Strapping, Unna boot",$218.51,CO
Porter Adventist Hospital,Obstetrics,HCPCS 58571,Abdominal removal of uterus with removal of tubes and/or ovaries using an endoscope,"$13,775.32",CO
Porter Adventist Hospital,Obstetrics,HCPCS 58558,Biopsy and/or removal of polyp of the uterus using an endoscope,"$4,110.67",CO
Porter Adventist Hospital,Obstetrics,HCPCS 58662,Destruction or removal of ovary or pelvic growths using an endoscope,"$7,501.80",CO
Porter Adventist Hospital,Obstetrics,HCPCS 58661,Removal of ovaries and/or tubes using an endoscope,"$6,181.02",CO
Porter Adventist Hospital,Obstetrics,HCPCS 58545,Removal of uterine fibroid tumors using an endoscope,"$12,511.49",CO
Porter Adventist Hospital,Ocular,HCPCS 66984,Cataract removal,"$5,654.94",CO
Porter Adventist Hospital,Ocular,HCPCS 66982,Cataract removal with insertion of lens,"$5,654.94",CO
Porter Adventist Hospital,Ocular,HCPCS 67311,Realignment of the eye with repair of eye muscle,"$1,156.72",CO
Porter Adventist Hospital,Ocular,HCPCS 67108,Repair of detached retina,"$8,762.32",CO
Porter Adventist Hospital,Soft Tissue,HCPCS 97597,Debridement of open wound,$427.68,CO
Porter Adventist Hospital,Vascular,HCPCS 36556,Insert non-tunneled catheter (age over 5),"$2,904.18",CO
Porter Adventist Hospital,Vascular,HCPCS 36430,Transfusion of Blood or Blood Products,"$2,391.41",CO
Porter Adventist Hospital,Vascular,HCPCS 36590,Ultrasound Veins of One Arm or Leg,"$1,153.34",CO
