Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St Anthony Summit Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$5,057.91",CO
St Anthony Summit Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,618.63",CO
St Anthony Summit Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,618.63",CO
St Anthony Summit Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,618.63",CO
St Anthony Summit Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,618.63",CO
St Anthony Summit Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,618.63",CO
St Anthony Summit Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$95.72,CO
St Anthony Summit Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$9.31,CO
St Anthony Summit Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$9.31,CO
St Anthony Summit Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$16.31,CO
St Anthony Summit Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$25.57,CO
St Anthony Summit Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$28.47,CO
St Anthony Summit Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$28.47,CO
St Anthony Summit Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$32.13,CO
St Anthony Summit Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$23.76,CO
St Anthony Summit Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$19.60,CO
St Anthony Summit Medical Center,Chemistry,HCPCS 82140,Ammonia level,$57.72,CO
St Anthony Summit Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$75.87,CO
St Anthony Summit Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$33.82,CO
St Anthony Summit Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$11.78,CO
St Anthony Summit Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$11.78,CO
St Anthony Summit Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$20.31,CO
St Anthony Summit Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$67.85,CO
St Anthony Summit Medical Center,Chemistry,HCPCS 82310,Calcium level,$44.06,CO
St Anthony Summit Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$85.82,CO
