Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
The Medical Center Of Aurora,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$20,601.19",CO
The Medical Center Of Aurora,Emergency Care,HCPCS 99281,Emergency Level 1,$949.26,CO
The Medical Center Of Aurora,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,307.97",CO
The Medical Center Of Aurora,Emergency Care,HCPCS 99283,Emergency Level 3,"$5,242.16",CO
The Medical Center Of Aurora,Emergency Care,HCPCS 99284,Emergency Level 4,"$8,784.16",CO
The Medical Center Of Aurora,Emergency Care,HCPCS 99285,Emergency Level 5,"$17,578.24",CO
The Medical Center Of Aurora,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$979.99,CO
The Medical Center Of Aurora,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,108.12",CO
The Medical Center Of Aurora,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$809.75,CO
The Medical Center Of Aurora,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$649.72,CO
The Medical Center Of Aurora,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$649.72,CO
The Medical Center Of Aurora,Psychology,HCPCS 90853,Group psychotherapy,$307.41,CO
The Medical Center Of Aurora,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$534.05,CO
The Medical Center Of Aurora,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$419.91,CO
The Medical Center Of Aurora,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$558.24,CO
The Medical Center Of Aurora,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$558.24,CO
The Medical Center Of Aurora,Blood,HCPCS 85018,"Blood count, hemoglobin",$151.84,CO
The Medical Center Of Aurora,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$151.84,CO
The Medical Center Of Aurora,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$273.49,CO
The Medical Center Of Aurora,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$812.85,CO
