Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
UCHealth Broomfield Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,028.38",CO
UCHealth Broomfield Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,348.48",CO
UCHealth Broomfield Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,348.48",CO
UCHealth Broomfield Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,348.48",CO
UCHealth Broomfield Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,348.48",CO
UCHealth Broomfield Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,348.48",CO
UCHealth Broomfield Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$32.54,CO
UCHealth Broomfield Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$35.25,CO
UCHealth Broomfield Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$57.03,CO
UCHealth Broomfield Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$60.42,CO
UCHealth Broomfield Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$87.47,CO
UCHealth Broomfield Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$87.47,CO
UCHealth Broomfield Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$56.04,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$187.06,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$50.06,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$129.37,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$156.88,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82140,Ammonia level,$160.97,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$102.76,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$131.34,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$225.63,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$105.41,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$36.64,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$36.64,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$51.38,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$52.79,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84132,Blood potassium level,$52.18,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$180.65,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82310,Calcium level,$43.82,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$155.35,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82465,Cholesterol level,$41.69,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82525,Copper level,$139.83,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$121.44,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$86.95,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$124.31,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$88.66,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$121.82,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$160.82,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$138.38,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$96.26,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$101.97,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$94.08,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,$157.58,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$283.09,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$297.39,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$203.57,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$110.38,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83540,Iron level,$70.42,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$65.39,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$109.71,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$68.98,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$101.67,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83021,Liver function blood test panel,$157.58,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83735,Magnesium Level,$64.04,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 82542,Mass spectrometry,$282.25,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$106.31,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83970,Parathormone,$198.24,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$203.57,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$186.29,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$74.37,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84403,Testosterone (hormone) level,$147.82,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84402,Testosterone Level; Free,$147.82,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$105.41,CO
UCHealth Broomfield Hospital,Chemistry,HCPCS 84155,"Total protein level, blood",$74.37,CO
