Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Burgess Health Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$296.00,IA
Burgess Health Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$533.00,IA
Burgess Health Center,Emergency Care,HCPCS 99281,Emergency Level 1,$154.00,IA
Burgess Health Center,Emergency Care,HCPCS 99282,Emergency Level 2,$226.00,IA
Burgess Health Center,Emergency Care,HCPCS 99283,Emergency Level 3,$418.00,IA
Burgess Health Center,Emergency Care,HCPCS 99284,Emergency Level 4,$653.00,IA
Burgess Health Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,028.00",IA
Burgess Health Center,Hospital,HCPCS 99234,Hospital observation care discharge,$296.00,IA
Burgess Health Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$258.00,IA
Burgess Health Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$181.00,IA
Burgess Health Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$144.00,IA
Burgess Health Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$295.00,IA
Burgess Health Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$85.00,IA
Burgess Health Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$141.00,IA
Burgess Health Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$152.00,IA
Burgess Health Center,Speech,HCPCS 92507,Speech Therapy,$143.00,IA
Burgess Health Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$28.00,IA
Burgess Health Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$28.00,IA
Burgess Health Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$98.00,IA
Burgess Health Center,Blood,HCPCS 85610,"Blood test, clotting time",$40.00,IA
Burgess Health Center,Blood,HCPCS 85730,Coagulation assessment blood test,$42.00,IA
Burgess Health Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$80.00,IA
Burgess Health Center,Blood,HCPCS 85027,"Complete blood count, automated",$72.00,IA
Burgess Health Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$44.00,IA
Burgess Health Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$36.00,IA
Burgess Health Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$811.00,IA
Burgess Health Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$125.00,IA
Burgess Health Center,Chemistry,HCPCS 82040,Albumin (protein) level,$27.00,IA
Burgess Health Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$78.00,IA
Burgess Health Center,Chemistry,HCPCS 82140,Ammonia level,$121.00,IA
Burgess Health Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$50.00,IA
Burgess Health Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$57.00,IA
Burgess Health Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$168.00,IA
Burgess Health Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$97.00,IA
Burgess Health Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$83.00,IA
Burgess Health Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$33.00,IA
Burgess Health Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$53.00,IA
Burgess Health Center,Chemistry,HCPCS 82565,Blood creatinine level,$37.00,IA
Burgess Health Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$36.00,IA
Burgess Health Center,Chemistry,HCPCS 84295,Blood sodium level,$35.00,IA
Burgess Health Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$30.00,IA
Burgess Health Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$120.00,IA
Burgess Health Center,Chemistry,HCPCS 82310,Calcium level,$32.00,IA
Burgess Health Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$30.00,IA
Burgess Health Center,Chemistry,HCPCS 82525,Copper level,$56.00,IA
Burgess Health Center,Chemistry,HCPCS 82533,Cortisol Measurement,$42.00,IA
Burgess Health Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$82.00,IA
Burgess Health Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$60.00,IA
Burgess Health Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$128.00,IA
Burgess Health Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$147.00,IA
Burgess Health Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$154.00,IA
Burgess Health Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$121.00,IA
Burgess Health Center,Chemistry,HCPCS 82746,Folic acid; serum,$18.00,IA
Burgess Health Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$72.00,IA
Burgess Health Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$18.00,IA
Burgess Health Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$78.00,IA
Burgess Health Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$26.00,IA
Burgess Health Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$53.00,IA
Burgess Health Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$30.00,IA
Burgess Health Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$47.00,IA
Burgess Health Center,Chemistry,HCPCS 83520,IgE (immune system protein) level,$149.00,IA
Burgess Health Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$42.00,IA
Burgess Health Center,Chemistry,HCPCS 82330,Ionized Calcium,$55.00,IA
Burgess Health Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$87.00,IA
Burgess Health Center,Chemistry,HCPCS 83540,Iron level,$76.00,IA
Burgess Health Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$7.00,IA
Burgess Health Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$93.00,IA
Burgess Health Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$27.00,IA
Burgess Health Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$84.00,IA
Burgess Health Center,Chemistry,HCPCS 83735,Magnesium Level,$60.00,IA
Burgess Health Center,Chemistry,HCPCS 82542,Mass spectrometry,$458.00,IA
Burgess Health Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$179.00,IA
Burgess Health Center,Chemistry,HCPCS 83945,Oxalate level,$114.00,IA
Burgess Health Center,Chemistry,HCPCS 83970,Parathormone,$82.00,IA
Burgess Health Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,$22.00,IA
Burgess Health Center,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$826.00,IA
Burgess Health Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$42.00,IA
Burgess Health Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$104.00,IA
Burgess Health Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$52.00,IA
Burgess Health Center,Chemistry,HCPCS 84402,Testosterone Level; Free,$52.00,IA
Burgess Health Center,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$223.00,IA
Burgess Health Center,Chemistry,HCPCS 84155,"Total protein level, blood",$31.00,IA
Burgess Health Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$60.00,IA
Burgess Health Center,Chemistry,HCPCS 84560,Uric acid level,$26.00,IA
Burgess Health Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$34.00,IA
Burgess Health Center,Chemistry,HCPCS 82340,Urine calcium level,$34.00,IA
Burgess Health Center,Chemistry,HCPCS 82436,Urine chloride level,$40.00,IA
Burgess Health Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$24.00,IA
Burgess Health Center,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$182.00,IA
Burgess Health Center,Chemistry,HCPCS 84133,Urine potassium level,$14.00,IA
Burgess Health Center,Chemistry,HCPCS 84300,Urine sodium level,$23.00,IA
Burgess Health Center,Chemistry,HCPCS 84591,Vitamin B-6 level,$92.00,IA
Burgess Health Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$90.00,IA
Burgess Health Center,Chemistry,HCPCS 84630,Zinc level,$56.00,IA
Burgess Health Center,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$48.00,IA
Burgess Health Center,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$41.00,IA
Burgess Health Center,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,$25.00,IA
Burgess Health Center,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$25.00,IA
Burgess Health Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$82.00,IA
Burgess Health Center,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$39.00,IA
Burgess Health Center,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$46.00,IA
Burgess Health Center,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$30.00,IA
Burgess Health Center,Immunology,HCPCS 86334,Immunologic analysis technique on body fluid; Immunofixation electrophoresis,$83.00,IA
Burgess Health Center,Immunology,HCPCS 86140,Measurement C-reactive protein,$80.00,IA
Burgess Health Center,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$356.00,IA
Burgess Health Center,Immunology,HCPCS 86255,Measurement of antibody to noninfectious agent,$62.00,IA
Burgess Health Center,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$118.00,IA
Burgess Health Center,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$46.00,IA
Burgess Health Center,Immunology,HCPCS 86431,Rheumatoid factor level,$18.00,IA
Burgess Health Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$52.00,IA
Burgess Health Center,Immunology,HCPCS 86592,Syphilis Detection Test,$10.00,IA
Burgess Health Center,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$61.00,IA
Burgess Health Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$70.00,IA
Burgess Health Center,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$46.00,IA
Burgess Health Center,Microbiology,HCPCS 87491,Chlamydia Test,$110.00,IA
Burgess Health Center,Microbiology,HCPCS 87635,Covid-19 current infection test,$78.00,IA
Burgess Health Center,Microbiology,HCPCS 87493,Detection test for clostridium difficile,$216.00,IA
Burgess Health Center,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),$108.00,IA
Burgess Health Center,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",$282.00,IA
Burgess Health Center,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$26.00,IA
Burgess Health Center,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$110.00,IA
Burgess Health Center,Microbiology,HCPCS 87517,Hepatitis B Detection,$126.00,IA
Burgess Health Center,Microbiology,HCPCS 86735,Mumps virus antibody test,$36.00,IA
Burgess Health Center,Microbiology,HCPCS 86762,Rubella virus antibody test,$24.00,IA
Burgess Health Center,Microbiology,HCPCS 86765,Rubeola virus antibody test,$36.00,IA
Burgess Health Center,Microbiology,HCPCS 87207,Smear for infectious agents,$66.00,IA
Burgess Health Center,Microbiology,HCPCS 87177,Smear for Parasites,$32.00,IA
Burgess Health Center,Microbiology,HCPCS 87206,Special stain for microorganism; special stain for parasites,$14.00,IA
Burgess Health Center,Microbiology,HCPCS 87045,Stool Culture,$84.00,IA
Burgess Health Center,Microbiology,HCPCS 87804,Test for Influenza Virus,$32.00,IA
Burgess Health Center,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$39.00,IA
Burgess Health Center,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,$35.00,IA
Burgess Health Center,Molecular pathology,HCPCS 81256,Gene analysis (hemochromatosis) common variants,$373.00,IA
Burgess Health Center,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$107.00,IA
Burgess Health Center,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$55.00,IA
Burgess Health Center,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$74.00,IA
Burgess Health Center,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$90.00,IA
Burgess Health Center,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$77.00,IA
Burgess Health Center,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$67.00,IA
Burgess Health Center,Organ or Disease Oriented Panels,HCPCS 80055,Obstetric blood test panel,$147.00,IA
Burgess Health Center,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$38.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80299,Cortisol (hormone) measurement,$54.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80158,Cyclosporine level,$90.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80162,Digoxin level,$77.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,$406.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80177,Levetiracetam level,$178.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,$16.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80184,Phenobarbital level,$53.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,$226.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80197,Tacrolimus Level,$210.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,$18.00,IA
Burgess Health Center,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,$154.00,IA
Burgess Health Center,Transfusion,HCPCS 86900,"Blood Typing, ABO",$26.00,IA
Burgess Health Center,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$53.00,IA
Burgess Health Center,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,$128.00,IA
Burgess Health Center,Transfusion,HCPCS 86945,"Irradiation blood product, each unit",$200.00,IA
Burgess Health Center,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$85.00,IA
Burgess Health Center,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$24.00,IA
Burgess Health Center,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$36.00,IA
Burgess Health Center,Urinalysis,HCPCS 81025,Urine Pregnancy Test,$55.00,IA
Burgess Health Center,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",$186.00,IA
Burgess Health Center,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",$117.00,IA
Burgess Health Center,Cardiovascular,HCPCS 93975,Ultrasound Heart,$415.00,IA
Burgess Health Center,Pulmonary,HCPCS 94729,Blood osmolality (concentration) measurement,$154.00,IA
Burgess Health Center,Pulmonary,HCPCS 94640,Nebulizer Treatment,$74.00,IA
Burgess Health Center,Pulmonary,HCPCS 94010,Spirometry - breathing test,$154.00,IA
Burgess Health Center,Sleep,HCPCS 95810,Sleep study,"$2,107.00",IA
Burgess Health Center,Breast,HCPCS 77063,3D Mammogram Screening (Tomosynthesis),$79.00,IA
Burgess Health Center,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",$187.00,IA
Burgess Health Center,Breast,HCPCS 77067,Mammogram Screening,$255.00,IA
Burgess Health Center,Breast,HCPCS 77066,Mammography of both breasts,$281.00,IA
Burgess Health Center,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,"$1,931.00",IA
Burgess Health Center,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$918.00,IA
Burgess Health Center,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",$898.00,IA
Burgess Health Center,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,"$1,701.00",IA
Burgess Health Center,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,323.00",IA
Burgess Health Center,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,"$1,134.00",IA
Burgess Health Center,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,"$1,468.00",IA
Burgess Health Center,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,"$1,865.00",IA
Burgess Health Center,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material","$1,247.00",IA
Burgess Health Center,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material","$1,039.00",IA
Burgess Health Center,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$1,094.00",IA
Burgess Health Center,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)","$1,026.00",IA
