Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Greater Regional Health,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$244.30,IA
Greater Regional Health,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,056.30",IA
Greater Regional Health,Emergency Care,HCPCS 99281,Emergency Level 1,$17.50,IA
Greater Regional Health,Emergency Care,HCPCS 99282,Emergency Level 2,$17.50,IA
Greater Regional Health,Emergency Care,HCPCS 99283,Emergency Level 3,$17.50,IA
Greater Regional Health,Emergency Care,HCPCS 99284,Emergency Level 4,$17.50,IA
Greater Regional Health,Emergency Care,HCPCS 99285,Emergency Level 5,$17.50,IA
Greater Regional Health,Hospital,HCPCS 99234,Hospital observation care discharge,$238.70,IA
Greater Regional Health,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$221.90,IA
Greater Regional Health,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$310.10,IA
Greater Regional Health,Hospital,HCPCS 99218,Hospital Observation per Hour,$177.10,IA
Greater Regional Health,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",$59.50,IA
Greater Regional Health,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$162.40,IA
Greater Regional Health,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$173.60,IA
Greater Regional Health,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$251.30,IA
Greater Regional Health,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$310.10,IA
Greater Regional Health,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$167.30,IA
Greater Regional Health,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$225.40,IA
Greater Regional Health,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$191.80,IA
Greater Regional Health,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$186.20,IA
Greater Regional Health,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$23.10,IA
Greater Regional Health,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$114.80,IA
Greater Regional Health,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$152.60,IA
Greater Regional Health,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$228.90,IA
Greater Regional Health,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$313.60,IA
Greater Regional Health,Speech,HCPCS 92507,Speech Therapy,$142.80,IA
Greater Regional Health,Speech,HCPCS 92610,Swallow Evaluation,$256.20,IA
Greater Regional Health,Speech,HCPCS 92526,Swallow Treatment,$159.60,IA
