Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Greene County Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,180.48",IA
Greene County Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,208.48",IA
Greene County Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$106.40,IA
Greene County Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$151.76,IA
Greene County Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$257.60,IA
Greene County Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$411.60,IA
Greene County Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$932.40,IA
Greene County Medical Center,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$288.96,IA
Greene County Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,$211.12,IA
Greene County Medical Center,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",$81.76,IA
Greene County Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$410.48,IA
Greene County Medical Center,Speech,HCPCS 92507,Speech Therapy,$166.88,IA
Greene County Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$241.92,IA
Greene County Medical Center,Speech,HCPCS 92526,Swallow Treatment,$193.20,IA
Greene County Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$15.12,IA
Greene County Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$15.12,IA
Greene County Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$75.04,IA
Greene County Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$33.04,IA
Greene County Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$33.60,IA
Greene County Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$58.80,IA
Greene County Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$50.96,IA
Greene County Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$28.00,IA
Greene County Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$705.60,IA
