Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Hawarden Regional Healthcare,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,394.10",IA
Hawarden Regional Healthcare,Emergency Care,HCPCS 99281,Emergency Level 1,$132.01,IA
Hawarden Regional Healthcare,Emergency Care,HCPCS 99282,Emergency Level 2,$239.35,IA
Hawarden Regional Healthcare,Emergency Care,HCPCS 99283,Emergency Level 3,$421.01,IA
Hawarden Regional Healthcare,Emergency Care,HCPCS 99284,Emergency Level 4,$708.36,IA
Hawarden Regional Healthcare,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,045.54",IA
Hawarden Regional Healthcare,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",$96.48,IA
Hawarden Regional Healthcare,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$224.40,IA
Hawarden Regional Healthcare,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$147.90,IA
Hawarden Regional Healthcare,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$318.75,IA
Hawarden Regional Healthcare,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$318.75,IA
Hawarden Regional Healthcare,Psychology,HCPCS 90853,Group psychotherapy,$250.75,IA
Hawarden Regional Healthcare,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$276.25,IA
Hawarden Regional Healthcare,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$297.50,IA
Hawarden Regional Healthcare,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$318.75,IA
Hawarden Regional Healthcare,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$380.72,IA
Hawarden Regional Healthcare,Speech,HCPCS 92507,Speech Therapy,$179.50,IA
Hawarden Regional Healthcare,Speech,HCPCS 92610,Swallow Evaluation,$153.85,IA
Hawarden Regional Healthcare,Speech,HCPCS 92526,Swallow Treatment,$198.37,IA
Hawarden Regional Healthcare,Blood,HCPCS 85018,"Blood count, hemoglobin",$12.75,IA
Hawarden Regional Healthcare,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$12.75,IA
Hawarden Regional Healthcare,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$34.85,IA
Hawarden Regional Healthcare,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$80.75,IA
Hawarden Regional Healthcare,Blood,HCPCS 85610,"Blood test, clotting time",$19.55,IA
Hawarden Regional Healthcare,Blood,HCPCS 85730,Coagulation assessment blood test,$44.20,IA
Hawarden Regional Healthcare,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$38.25,IA
Hawarden Regional Healthcare,Blood,HCPCS 85027,"Complete blood count, automated",$36.55,IA
Hawarden Regional Healthcare,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$26.35,IA
Hawarden Regional Healthcare,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$147.90,IA
Hawarden Regional Healthcare,Blood,HCPCS 85660,Red blood cell sickling measurement,$33.63,IA
Hawarden Regional Healthcare,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$402.03,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$166.15,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82040,Albumin (protein) level,$31.45,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$68.07,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$110.50,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82140,Ammonia level,$62.90,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82150,Amylase (enzyme) level,$30.60,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$99.66,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 84439,Assay of free thyroxine,$53.32,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$114.96,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82248,Bilirubin level (Direct),$18.00,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82247,Bilirubin level (Total),$28.90,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82565,Blood creatinine level,$28.90,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$27.20,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 84132,Blood potassium level,$27.20,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 84295,Blood sodium level,$17.26,IA
Hawarden Regional Healthcare,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$20.66,IA
