Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Lakes Regional Healthcare,Emergency Care,HCPCS 99281,Emergency Level 1,-,IA
Lakes Regional Healthcare,Emergency Care,HCPCS 99282,Emergency Level 2,-,IA
Lakes Regional Healthcare,Emergency Care,HCPCS 99283,Emergency Level 3,-,IA
Lakes Regional Healthcare,Emergency Care,HCPCS 99284,Emergency Level 4,-,IA
Lakes Regional Healthcare,Emergency Care,HCPCS 99285,Emergency Level 5,-,IA
Lakes Regional Healthcare,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,IA
Lakes Regional Healthcare,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,IA
Lakes Regional Healthcare,Speech,HCPCS 92507,Speech Therapy,-,IA
Lakes Regional Healthcare,Blood,HCPCS 85018,"Blood count, hemoglobin",-,IA
Lakes Regional Healthcare,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,IA
Lakes Regional Healthcare,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,IA
Lakes Regional Healthcare,Blood,HCPCS 85610,"Blood test, clotting time",-,IA
Lakes Regional Healthcare,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,IA
Lakes Regional Healthcare,Blood,HCPCS 85027,"Complete blood count, automated",-,IA
Lakes Regional Healthcare,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82140,Ammonia level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82247,Bilirubin level (Total),-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82565,Blood creatinine level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82947,Blood glucose (sugar) level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82310,Calcium level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82533,Cortisol Measurement,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82746,Folic acid; serum,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82784,Gammaglobulin Measurement,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 83520,IgE (immune system protein) level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 83525,Insulin Measurement; Total,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 83550,Iron Binding Capacity,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 83735,Magnesium Level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 83883,"Nephelometry, test method using light",-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 83970,Parathormone,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 84403,Testosterone (hormone) level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 84402,Testosterone Level; Free,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 84156,"Total Protein Level, Urine",-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 84550,"Uric acid level, blood",-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 84300,Urine sodium level,-,IA
Lakes Regional Healthcare,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,-,IA
Lakes Regional Healthcare,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,-,IA
Lakes Regional Healthcare,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,-,IA
Lakes Regional Healthcare,Immunology,HCPCS 86140,Measurement C-reactive protein,-,IA
Lakes Regional Healthcare,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,-,IA
Lakes Regional Healthcare,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,-,IA
Lakes Regional Healthcare,Immunology,HCPCS 86592,Syphilis Detection Test,-,IA
Lakes Regional Healthcare,Immunology,HCPCS 86361,T cell count and ratio,-,IA
Lakes Regional Healthcare,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",-,IA
Lakes Regional Healthcare,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,-,IA
Lakes Regional Healthcare,Microbiology,HCPCS 87491,Chlamydia Test,-,IA
Lakes Regional Healthcare,Microbiology,HCPCS 87493,Detection test for clostridium difficile,-,IA
Lakes Regional Healthcare,Microbiology,HCPCS 87536,"Detection test for HIV-1 virus, quantification",-,IA
Lakes Regional Healthcare,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,-,IA
Lakes Regional Healthcare,Microbiology,HCPCS 86762,Rubella virus antibody test,-,IA
Lakes Regional Healthcare,Microbiology,HCPCS 87045,Stool Culture,-,IA
Lakes Regional Healthcare,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,-,IA
