Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Mercy Medical Center - North Iowa Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$449.00,IA
Mercy Medical Center - North Iowa Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,715.00",IA
Mercy Medical Center - North Iowa Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$305.00,IA
Mercy Medical Center - North Iowa Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$490.00,IA
Mercy Medical Center - North Iowa Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$876.00,IA
Mercy Medical Center - North Iowa Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,530.00",IA
Mercy Medical Center - North Iowa Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,176.00",IA
Mercy Medical Center - North Iowa Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$248.00,IA
Mercy Medical Center - North Iowa Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$290.00,IA
Mercy Medical Center - North Iowa Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$113.42,IA
Mercy Medical Center - North Iowa Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$248.00,IA
Mercy Medical Center - North Iowa Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$164.21,IA
Mercy Medical Center - North Iowa Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$247.38,IA
Mercy Medical Center - North Iowa Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$248.00,IA
Mercy Medical Center - North Iowa Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$389.00,IA
Mercy Medical Center - North Iowa Medical Center,Speech,HCPCS 92507,Speech Therapy,$305.00,IA
Mercy Medical Center - North Iowa Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$379.00,IA
Mercy Medical Center - North Iowa Medical Center,Speech,HCPCS 92526,Swallow Treatment,$290.00,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$29.70,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$9.00,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$79.00,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$126.00,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$34.10,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$87.00,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$47.00,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$119.94,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$92.14,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$11.00,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$220.00,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$46.00,IA
Mercy Medical Center - North Iowa Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$234.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$281.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$39.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$83.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$12.08,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82140,Ammonia level,$165.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$111.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$123.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$131.93,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$144.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$79.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$74.94,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$49.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$48.02,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$37.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$33.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$14.10,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$168.91,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82310,Calcium level,$40.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$29.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$159.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$12.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82525,Copper level,$80.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$163.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$184.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$91.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$110.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$164.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$128.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$98.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$100.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$81.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$62.18,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$215.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$160.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$83.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83718,HDL cholesterol level,$61.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83020,Hemoglobin Measurement,$83.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$165.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$198.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$160.50,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$118.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$55.60,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$77.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83540,Iron level,$69.00,IA
Mercy Medical Center - North Iowa Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$66.00,IA
