Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Palmer Lutheran Health Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$393.00,IA
Palmer Lutheran Health Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,814.00",IA
Palmer Lutheran Health Center,Emergency Care,HCPCS 99281,Emergency Level 1,$155.00,IA
Palmer Lutheran Health Center,Emergency Care,HCPCS 99282,Emergency Level 2,$332.00,IA
Palmer Lutheran Health Center,Emergency Care,HCPCS 99283,Emergency Level 3,$484.00,IA
Palmer Lutheran Health Center,Emergency Care,HCPCS 99284,Emergency Level 4,$725.00,IA
Palmer Lutheran Health Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,209.00",IA
Palmer Lutheran Health Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$955.00,IA
Palmer Lutheran Health Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$676.00,IA
Palmer Lutheran Health Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$338.00,IA
Palmer Lutheran Health Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$338.00,IA
Palmer Lutheran Health Center,Psychology,HCPCS 90853,Group psychotherapy,$175.00,IA
Palmer Lutheran Health Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$190.00,IA
Palmer Lutheran Health Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$274.00,IA
Palmer Lutheran Health Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$333.00,IA
Palmer Lutheran Health Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$574.00,IA
Palmer Lutheran Health Center,Speech,HCPCS 92507,Speech Therapy,$235.00,IA
Palmer Lutheran Health Center,Speech,HCPCS 92610,Swallow Evaluation,$349.00,IA
Palmer Lutheran Health Center,Speech,HCPCS 92526,Swallow Treatment,$346.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$18.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$18.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$36.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$97.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 85610,"Blood test, clotting time",$32.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 85730,Coagulation assessment blood test,$45.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$58.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 85027,"Complete blood count, automated",$49.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,$26.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$29.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$104.00,IA
Palmer Lutheran Health Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$41.00,IA
Palmer Lutheran Health Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$591.00,IA
Palmer Lutheran Health Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$255.00,IA
Palmer Lutheran Health Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$290.00,IA
Palmer Lutheran Health Center,Chemistry,HCPCS 82040,Albumin (protein) level,$37.00,IA
