Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St. Alphonsus Medical Center - Namp,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$469.00,ID
St. Alphonsus Medical Center - Namp,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,492.00",ID
St. Alphonsus Medical Center - Namp,Emergency Care,HCPCS 99281,Emergency Level 1,$226.00,ID
St. Alphonsus Medical Center - Namp,Emergency Care,HCPCS 99282,Emergency Level 2,$428.00,ID
St. Alphonsus Medical Center - Namp,Emergency Care,HCPCS 99283,Emergency Level 3,$832.00,ID
St. Alphonsus Medical Center - Namp,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,306.00",ID
St. Alphonsus Medical Center - Namp,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,821.00",ID
St. Alphonsus Medical Center - Namp,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$35.00,ID
St. Alphonsus Medical Center - Namp,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$23.00,ID
St. Alphonsus Medical Center - Namp,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$35.00,ID
St. Alphonsus Medical Center - Namp,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$35.00,ID
St. Alphonsus Medical Center - Namp,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$385.00,ID
St. Alphonsus Medical Center - Namp,Speech,HCPCS 92507,Speech Therapy,$310.00,ID
St. Alphonsus Medical Center - Namp,Speech,HCPCS 92610,Swallow Evaluation,$416.00,ID
St. Alphonsus Medical Center - Namp,Speech,HCPCS 92526,Swallow Treatment,$293.00,ID
St. Alphonsus Medical Center - Namp,Blood,HCPCS 85018,"Blood count, hemoglobin",$17.00,ID
St. Alphonsus Medical Center - Namp,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$36.00,ID
