Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Advocate South Suburban Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$360.50,IL
Advocate South Suburban Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,785.30",IL
Advocate South Suburban Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$275.10,IL
Advocate South Suburban Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$483.70,IL
Advocate South Suburban Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$832.30,IL
Advocate South Suburban Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,485.40",IL
Advocate South Suburban Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,153.90",IL
Advocate South Suburban Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$323.40,IL
Advocate South Suburban Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$442.40,IL
Advocate South Suburban Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$304.50,IL
Advocate South Suburban Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$189.70,IL
Advocate South Suburban Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$557.90,IL
Advocate South Suburban Hospital,Speech,HCPCS 92507,Speech Therapy,$271.60,IL
Advocate South Suburban Hospital,Speech,HCPCS 92610,Swallow Evaluation,$245.70,IL
Advocate South Suburban Hospital,Speech,HCPCS 92526,Swallow Treatment,$242.20,IL
Advocate South Suburban Hospital,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",$504.70,IL
Advocate South Suburban Hospital,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",$312.20,IL
Advocate South Suburban Hospital,Cardiovascular,HCPCS 93041,Heart rhythm symptom-related tracing of 24-hour EKG monitoring up to 30 days,$226.80,IL
Advocate South Suburban Hospital,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,$371.70,IL
Advocate South Suburban Hospital,Cardiovascular,HCPCS 93660,Tilt table test to evaluate heart (for unexplained fainting),"$1,006.60",IL
Advocate South Suburban Hospital,Cardiovascular,HCPCS 93975,Ultrasound Heart,"$1,292.20",IL
Advocate South Suburban Hospital,Pulmonary,HCPCS 94729,Blood osmolality (concentration) measurement,$260.40,IL
Advocate South Suburban Hospital,Pulmonary,HCPCS 94640,Nebulizer Treatment,$223.30,IL
Advocate South Suburban Hospital,Pulmonary,HCPCS 94618,Pulmonary stress test,$334.60,IL
Advocate South Suburban Hospital,Pulmonary,HCPCS 94010,Spirometry - breathing test,$268.10,IL
Advocate South Suburban Hospital,Breast,HCPCS 77063,3D Mammogram Screening (Tomosynthesis),$149.10,IL
Advocate South Suburban Hospital,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",$352.80,IL
Advocate South Suburban Hospital,Breast,HCPCS 77066,Mammography of both breasts,$352.80,IL
Advocate South Suburban Hospital,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,"$2,165.10",IL
Advocate South Suburban Hospital,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,"$1,003.10",IL
Advocate South Suburban Hospital,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$921.20,IL
Advocate South Suburban Hospital,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",$943.60,IL
Advocate South Suburban Hospital,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,"$4,010.30",IL
Advocate South Suburban Hospital,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$3,565.10",IL
Advocate South Suburban Hospital,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,"$2,376.50",IL
Advocate South Suburban Hospital,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,"$2,313.50",IL
Advocate South Suburban Hospital,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material","$2,165.10",IL
Advocate South Suburban Hospital,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material","$1,166.20",IL
Advocate South Suburban Hospital,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)","$2,165.10",IL
Advocate South Suburban Hospital,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)","$1,511.30",IL
Advocate South Suburban Hospital,MRI,HCPCS 72146,MRI chest spine without contrast material,"$1,845.90",IL
Advocate South Suburban Hospital,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$1,845.90",IL
Advocate South Suburban Hospital,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,"$3,483.20",IL
Advocate South Suburban Hospital,MRI,HCPCS 72141,MRI neck spine without contrast material,"$1,845.90",IL
Advocate South Suburban Hospital,MRI,HCPCS 72156,MRI neck spine without & with contrast material,"$3,119.20",IL
Advocate South Suburban Hospital,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,"$1,845.90",IL
Advocate South Suburban Hospital,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$3,157.00",IL
Advocate South Suburban Hospital,MRI,HCPCS 70551,MRI scan of brain (including brain stem); without contrast material,"$1,511.30",IL
Advocate South Suburban Hospital,MRI,HCPCS 73721,MRI scan of leg joint,"$1,845.90",IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76805,"Abdominal ultrasound of pregnant uterus, first trimester",$780.50,IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76506,Ultrasound Blood Flow Outside the Brain,$642.60,IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76770,"Ultrasound exam of abdomenal back wall, complete",$690.90,IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76536,Ultrasound exam of head and neck,$668.50,IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76942,Ultrasound guidance for biopsy,$995.40,IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete","$1,247.40",IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76705,"Ultrasound of abdomen, limited",$639.10,IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76857,Ultrasound of pelvis,$382.20,IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76856,"Ultrasound, pelvic, complete",$478.80,IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$409.50,IL
Advocate South Suburban Hospital,Ultrasound,HCPCS 76881,Ultrasound Veins of Both Arms or Legs,$602.00,IL
Advocate South Suburban Hospital,Chest,HCPCS 71111,"X-ray of Both Sides of Ribs, Including Chest, Minimum of 4 Views",$553.70,IL
Advocate South Suburban Hospital,Chest,HCPCS 70130,"X-ray of breast bone, minimum of 2 views",$672.00,IL
Advocate South Suburban Hospital,Chest,HCPCS 71046,X-ray of chest; 2 Views,$294.00,IL
Advocate South Suburban Hospital,Chest,HCPCS 71045,X-ray of chest; Single View,$242.20,IL
Advocate South Suburban Hospital,Chest,HCPCS 71100,"X-ray Ribs One Side, 2 Views",$294.00,IL
Advocate South Suburban Hospital,Head and Neck,HCPCS 77076,X-ray of jaw joints on both sides of the face,$653.80,IL
Advocate South Suburban Hospital,Head and Neck,HCPCS 70110,"X-ray of mandible, minimum of 4 views",$452.90,IL
Advocate South Suburban Hospital,Head and Neck,HCPCS 70360,X-ray of neck soft tissue,$294.00,IL
Advocate South Suburban Hospital,Head and Neck,HCPCS 70260,"X-ray of skull, complete, minimum of 4 views",$553.70,IL
Advocate South Suburban Hospital,Hip and Pelvis,HCPCS 73522,"X-ray Both Hips and Pelvis, 3-4 Views",$553.70,IL
Advocate South Suburban Hospital,Hip and Pelvis,HCPCS 73502,"X-ray Hip and Pelvis, 2 Views",$297.50,IL
Advocate South Suburban Hospital,Hip and Pelvis,HCPCS 72170,"X-ray Pelvis, 1-2 Views",$535.50,IL
Advocate South Suburban Hospital,Lower Limbs,HCPCS 73600,"X-ray Ankle, 2 Views",$294.00,IL
Advocate South Suburban Hospital,Lower Limbs,HCPCS 73610,"X-ray Ankle, 3 Views",$294.00,IL
Advocate South Suburban Hospital,Lower Limbs,HCPCS 73630,X-ray exam of foot,$294.00,IL
Advocate South Suburban Hospital,Lower Limbs,HCPCS 73562,"X-ray exam of knee, 3 views",$294.00,IL
Advocate South Suburban Hospital,Lower Limbs,HCPCS 73552,"X-ray Femur, 2 Views",$294.00,IL
Advocate South Suburban Hospital,Lower Limbs,HCPCS 73620,"X-ray Foot, 2 Views",$294.00,IL
Advocate South Suburban Hospital,Lower Limbs,HCPCS 73650,"X-ray Heel, 2 Views",$294.00,IL
Advocate South Suburban Hospital,Lower Limbs,HCPCS 73560,"X-ray Knee, 1-2 Views",$278.60,IL
Advocate South Suburban Hospital,Lower Limbs,HCPCS 73564,"X-ray Knee, 4 or More Views",$553.70,IL
Advocate South Suburban Hospital,Lower Limbs,HCPCS 73590,"X-ray Lower Leg, 2 Views",$294.00,IL
Advocate South Suburban Hospital,Spine,HCPCS 72040,"X-ray Lower Sacral Spine, 2-3 Views",$294.00,IL
Advocate South Suburban Hospital,Spine,HCPCS 72100,"X-ray Lower Sacral Spine, 2 or 3 views",$553.70,IL
Advocate South Suburban Hospital,Spine,HCPCS 72052,"X-ray Lower Sacral Spine, 4 or More Views",$553.70,IL
Advocate South Suburban Hospital,Upper Limbs,HCPCS 73080,"X-ray Elbow, 3 Views",$294.00,IL
Advocate South Suburban Hospital,Upper Limbs,HCPCS 73140,"X-ray Fingers, 2 Views",$294.00,IL
Advocate South Suburban Hospital,Upper Limbs,HCPCS 73120,"X-ray Hand, 2 Views",$397.60,IL
Advocate South Suburban Hospital,Upper Limbs,HCPCS 73130,"X-ray Hand, 3 Views",$297.50,IL
Advocate South Suburban Hospital,Upper Limbs,HCPCS 73030,"X-ray Shoulder, 2 Views",$334.60,IL
Advocate South Suburban Hospital,Upper Limbs,HCPCS 73090,"X-ray Upper Arm, 2 Views",$294.00,IL
Advocate South Suburban Hospital,Upper Limbs,HCPCS 73100,"X-ray Wrist, 3 Views",$342.30,IL
Advocate South Suburban Hospital,Upper Limbs,HCPCS 73110,"X-ray Wrist, 3+ Views",$294.00,IL
Advocate South Suburban Hospital,Abdomenal,HCPCS 51702,Insertion of Indwelling Bladder Catheter,$364.70,IL
Advocate South Suburban Hospital,Abdomenal,HCPCS 51701,Insertion of temporary bladder catheter,$126.70,IL
Advocate South Suburban Hospital,Cardiac,HCPCS 93451,Diagnostic heart catheterization (right side),"$4,734.10",IL
Advocate South Suburban Hospital,Cardiac,HCPCS 93320,"Doppler ultrasound of heart blood flow, valves, and chambers",$233.80,IL
Advocate South Suburban Hospital,General,HCPCS 55700,Biopsy of prostate gland,$716.80,IL
Advocate South Suburban Hospital,General,HCPCS 10060,Drainage of Abscess,$602.00,IL
Advocate South Suburban Hospital,General,HCPCS 10120,"Incision and removal of foreign body, subcutaneous tissues; simple",$884.10,IL
Advocate South Suburban Hospital,General,HCPCS 69200,Removal of foreign body from ear canal,$215.60,IL
Advocate South Suburban Hospital,General,HCPCS 12002,Repair of Wound (2.6 to 7.5 centimeters),$602.00,IL
Advocate South Suburban Hospital,General,HCPCS 12005,Repair of Wound (7.6 to 12.5 cm),"$1,124.90",IL
Advocate South Suburban Hospital,General,HCPCS 12011,"Simple wound repair of face, including ears; 2.5 cm or less",$602.00,IL
Advocate South Suburban Hospital,General,HCPCS 12001,"Simple wound repair of scalp, neck, external genitalia; 2.5 cm or less",$602.00,IL
Advocate South Suburban Hospital,Head,HCPCS 67028,Injection of drug into the eye,$832.30,IL
Advocate South Suburban Hospital,Musculoskeletal,HCPCS 26770,Closed treatment of dislocated finger joint with manipulation,$642.60,IL
Advocate South Suburban Hospital,Musculoskeletal,HCPCS 62323,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,"$1,243.90",IL
Advocate South Suburban Hospital,Musculoskeletal,HCPCS 62321,Injection of substance into spinal canal of upper or middle back using imaging guidance,"$1,243.90",IL
Advocate South Suburban Hospital,Musculoskeletal,HCPCS 64483,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,"$1,857.80",IL
Advocate South Suburban Hospital,Musculoskeletal,HCPCS 20610,Joint arthrocentesis,$564.90,IL
Advocate South Suburban Hospital,Musculoskeletal,HCPCS 29580,"Strapping, Unna boot",$252.70,IL
Advocate South Suburban Hospital,Soft Tissue,HCPCS 97597,Debridement of open wound,$326.90,IL
Advocate South Suburban Hospital,Soft Tissue,HCPCS 97602,Non-selective debridement,$137.90,IL
Advocate South Suburban Hospital,Vascular,HCPCS 36556,Insert non-tunneled catheter (age over 5),"$2,005.50",IL
Advocate South Suburban Hospital,Vascular,HCPCS 36590,Ultrasound Veins of One Arm or Leg,"$1,678.60",IL
