Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Copley Memorial Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$207.90,IL
Copley Memorial Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,083.10",IL
Copley Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$251.30,IL
Copley Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$465.50,IL
Copley Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,195.60",IL
Copley Memorial Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,999.90",IL
Copley Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,625.00",IL
Copley Memorial Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,$413.00,IL
Copley Memorial Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$359.10,IL
Copley Memorial Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$491.40,IL
Copley Memorial Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$270.90,IL
Copley Memorial Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$889.70,IL
Copley Memorial Hospital,Speech,HCPCS 92507,Speech Therapy,$492.80,IL
Copley Memorial Hospital,Speech,HCPCS 92610,Swallow Evaluation,$855.40,IL
Copley Memorial Hospital,Speech,HCPCS 92526,Swallow Treatment,$276.50,IL
Copley Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$62.30,IL
Copley Memorial Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$52.50,IL
Copley Memorial Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$163.80,IL
Copley Memorial Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$177.10,IL
Copley Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$81.90,IL
Copley Memorial Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$119.00,IL
Copley Memorial Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$117.60,IL
Copley Memorial Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$110.60,IL
Copley Memorial Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$56.00,IL
Copley Memorial Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$385.00,IL
Copley Memorial Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$599.20,IL
Copley Memorial Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$42.70,IL
Copley Memorial Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$56.00,IL
Copley Memorial Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$339.50,IL
Copley Memorial Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$89.60,IL
Copley Memorial Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$170.80,IL
Copley Memorial Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$82.60,IL
Copley Memorial Hospital,Chemistry,HCPCS 82140,Ammonia level,$21.00,IL
Copley Memorial Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$43.40,IL
Copley Memorial Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$72.10,IL
Copley Memorial Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$283.50,IL
Copley Memorial Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$156.10,IL
Copley Memorial Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$87.50,IL
Copley Memorial Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$88.90,IL
Copley Memorial Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$70.00,IL
Copley Memorial Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$81.20,IL
Copley Memorial Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$66.50,IL
Copley Memorial Hospital,Chemistry,HCPCS 84295,Blood sodium level,$83.30,IL
Copley Memorial Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$83.30,IL
Copley Memorial Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$24.50,IL
Copley Memorial Hospital,Chemistry,HCPCS 82310,Calcium level,$30.80,IL
Copley Memorial Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$79.10,IL
Copley Memorial Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$256.90,IL
Copley Memorial Hospital,Chemistry,HCPCS 82465,Cholesterol level,$89.60,IL
