Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Delnor-Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,046.00",IL
Delnor-Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$5,030.00",IL
Delnor-Community Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$362.00,IL
Delnor-Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$736.00,IL
Delnor-Community Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,167.00",IL
Delnor-Community Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,861.00",IL
Delnor-Community Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,266.00",IL
Delnor-Community Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$322.00,IL
Delnor-Community Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$405.00,IL
Delnor-Community Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$260.00,IL
Delnor-Community Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$181.00,IL
Delnor-Community Hospital,Psychology,HCPCS 90853,Group psychotherapy,$460.00,IL
Delnor-Community Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,"$1,338.00",IL
Delnor-Community Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$442.00,IL
Delnor-Community Hospital,Speech,HCPCS 92507,Speech Therapy,$279.00,IL
Delnor-Community Hospital,Speech,HCPCS 92610,Swallow Evaluation,$556.00,IL
Delnor-Community Hospital,Speech,HCPCS 92526,Swallow Treatment,$406.00,IL
Delnor-Community Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$59.00,IL
Delnor-Community Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$57.00,IL
Delnor-Community Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$153.00,IL
Delnor-Community Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$346.00,IL
Delnor-Community Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$89.00,IL
Delnor-Community Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$132.00,IL
