Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Gottlieb Memorial Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$247.00,IL
Gottlieb Memorial Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,322.00",IL
Gottlieb Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$394.00,IL
Gottlieb Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$700.00,IL
Gottlieb Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,182.00",IL
Gottlieb Memorial Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,983.00",IL
Gottlieb Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,942.00",IL
Gottlieb Memorial Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,$168.06,IL
Gottlieb Memorial Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$166.00,IL
Gottlieb Memorial Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$52.00,IL
Gottlieb Memorial Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$132.00,IL
Gottlieb Memorial Hospital,Psychology,HCPCS 90853,Group psychotherapy,$205.00,IL
Gottlieb Memorial Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$516.00,IL
Gottlieb Memorial Hospital,Speech,HCPCS 92507,Speech Therapy,$413.00,IL
Gottlieb Memorial Hospital,Speech,HCPCS 92610,Swallow Evaluation,$425.00,IL
Gottlieb Memorial Hospital,Speech,HCPCS 92526,Swallow Treatment,$430.00,IL
Gottlieb Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$72.00,IL
Gottlieb Memorial Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$48.00,IL
Gottlieb Memorial Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$89.00,IL
Gottlieb Memorial Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$199.00,IL
Gottlieb Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$113.01,IL
Gottlieb Memorial Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$115.09,IL
Gottlieb Memorial Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$139.00,IL
Gottlieb Memorial Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$133.86,IL
Gottlieb Memorial Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$104.09,IL
Gottlieb Memorial Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$61.00,IL
Gottlieb Memorial Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$363.00,IL
Gottlieb Memorial Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$106.00,IL
Gottlieb Memorial Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$496.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$113.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$167.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$30.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$85.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$96.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82140,Ammonia level,$136.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$51.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$85.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$291.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$90.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$96.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$67.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$56.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$115.98,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$94.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 84132,Blood potassium level,$93.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 84295,Blood sodium level,$97.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$76.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$266.01,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82310,Calcium level,$57.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$42.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$306.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82465,Cholesterol level,$74.00,IL
Gottlieb Memorial Hospital,Chemistry,HCPCS 82525,Copper level,$57.00,IL
