Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Franciscan Health Crown Point,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,035.09",IN
Franciscan Health Crown Point,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$5,175.45",IN
Franciscan Health Crown Point,Emergency Care,HCPCS 99281,Emergency Level 1,$207.02,IN
Franciscan Health Crown Point,Emergency Care,HCPCS 99282,Emergency Level 2,$414.04,IN
Franciscan Health Crown Point,Emergency Care,HCPCS 99283,Emergency Level 3,$966.08,IN
Franciscan Health Crown Point,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,380.12",IN
Franciscan Health Crown Point,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,070.18",IN
Franciscan Health Crown Point,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$221.34,IN
Franciscan Health Crown Point,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$324.85,IN
Franciscan Health Crown Point,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$179.68,IN
Franciscan Health Crown Point,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$214.18,IN
Franciscan Health Crown Point,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$152.33,IN
Franciscan Health Crown Point,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$227.85,IN
Franciscan Health Crown Point,Speech,HCPCS 92507,Speech Therapy,$152.33,IN
Franciscan Health Crown Point,Speech,HCPCS 92610,Swallow Evaluation,$179.68,IN
Franciscan Health Crown Point,Speech,HCPCS 92526,Swallow Treatment,$131.50,IN
Franciscan Health Crown Point,Blood,HCPCS 85018,"Blood count, hemoglobin",$34.50,IN
Franciscan Health Crown Point,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$69.01,IN
Franciscan Health Crown Point,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$62.50,IN
Franciscan Health Crown Point,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$207.02,IN
Franciscan Health Crown Point,Blood,HCPCS 85610,"Blood test, clotting time",$6.51,IN
Franciscan Health Crown Point,Blood,HCPCS 85730,Coagulation assessment blood test,$62.50,IN
Franciscan Health Crown Point,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$31.90,IN
Franciscan Health Crown Point,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$97.00,IN
Franciscan Health Crown Point,Blood,HCPCS 85027,"Complete blood count, automated",$76.17,IN
Franciscan Health Crown Point,Blood,HCPCS 85008,Microscopic examination for white blood cells,$22.13,IN
Franciscan Health Crown Point,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$34.50,IN
Franciscan Health Crown Point,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$393.86,IN
Franciscan Health Crown Point,Blood,HCPCS 85660,Red blood cell sickling measurement,$76.17,IN
Franciscan Health Crown Point,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$255.84,IN
Franciscan Health Crown Point,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$186.84,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$400.37,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82040,Albumin (protein) level,$48.83,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$186.84,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$152.33,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82140,Ammonia level,$131.50,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82150,Amylase (enzyme) level,$124.34,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$317.69,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$117.83,IN
Franciscan Health Crown Point,Chemistry,HCPCS 84439,Assay of free thyroxine,$152.33,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$131.50,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82248,Bilirubin level (Direct),$22.13,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82247,Bilirubin level (Total),$34.50,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82565,Blood creatinine level,$76.17,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$69.01,IN
Franciscan Health Crown Point,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$30.60,IN
Franciscan Health Crown Point,Chemistry,HCPCS 84295,Blood sodium level,$41.66,IN
