Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Logan Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$155.11,KY
Logan Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$273.39,KY
Logan Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$375.98,KY
Logan Memorial Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$621.00,KY
Logan Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,054.92",KY
Logan Memorial Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$383.38,KY
Logan Memorial Hospital,Speech,HCPCS 92507,Speech Therapy,$102.02,KY
Logan Memorial Hospital,Speech,HCPCS 92610,Swallow Evaluation,$144.24,KY
Logan Memorial Hospital,Speech,HCPCS 92526,Swallow Treatment,$108.60,KY
Logan Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$35.65,KY
Logan Memorial Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$40.58,KY
Logan Memorial Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$181.54,KY
Logan Memorial Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$349.92,KY
Logan Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$66.91,KY
Logan Memorial Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$82.27,KY
Logan Memorial Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$57.59,KY
Logan Memorial Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$63.62,KY
Logan Memorial Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$64.18,KY
Logan Memorial Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$63.62,KY
Logan Memorial Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$90.50,KY
Logan Memorial Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$611.00,KY
Logan Memorial Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$14.81,KY
Logan Memorial Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$185.38,KY
Logan Memorial Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$224.32,KY
Logan Memorial Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$60.33,KY
Logan Memorial Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$64.18,KY
Logan Memorial Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$146.99,KY
Logan Memorial Hospital,Chemistry,HCPCS 82140,Ammonia level,$108.60,KY
Logan Memorial Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$102.02,KY
Logan Memorial Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$66.36,KY
Logan Memorial Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$230.91,KY
Logan Memorial Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$82.27,KY
Logan Memorial Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$66.36,KY
Logan Memorial Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$82.82,KY
Logan Memorial Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$69.11,KY
Logan Memorial Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$57.59,KY
Logan Memorial Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$53.20,KY
Logan Memorial Hospital,Chemistry,HCPCS 84295,Blood sodium level,$17.00,KY
Logan Memorial Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$46.62,KY
Logan Memorial Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$69.11,KY
Logan Memorial Hospital,Chemistry,HCPCS 82310,Calcium level,$56.50,KY
Logan Memorial Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$26.47,KY
Logan Memorial Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$140.96,KY
Logan Memorial Hospital,Chemistry,HCPCS 82465,Cholesterol level,$67.46,KY
Logan Memorial Hospital,Chemistry,HCPCS 82525,Copper level,$209.51,KY
Logan Memorial Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$171.12,KY
Logan Memorial Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$134.38,KY
Logan Memorial Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$82.27,KY
Logan Memorial Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$165.09,KY
Logan Memorial Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$156.32,KY
Logan Memorial Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$208.42,KY
Logan Memorial Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$156.86,KY
Logan Memorial Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$95.43,KY
Logan Memorial Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$207.87,KY
Logan Memorial Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$77.34,KY
Logan Memorial Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$61.43,KY
Logan Memorial Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$188.13,KY
Logan Memorial Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$127.79,KY
