Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Ochsner Medical Center - Northshore,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$531.30,LA
Ochsner Medical Center - Northshore,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,143.78",LA
Ochsner Medical Center - Northshore,Emergency Care,HCPCS 99281,Emergency Level 1,$66.00,LA
Ochsner Medical Center - Northshore,Emergency Care,HCPCS 99282,Emergency Level 2,$138.16,LA
Ochsner Medical Center - Northshore,Emergency Care,HCPCS 99283,Emergency Level 3,$209.00,LA
Ochsner Medical Center - Northshore,Emergency Care,HCPCS 99284,Emergency Level 4,$335.06,LA
Ochsner Medical Center - Northshore,Emergency Care,HCPCS 99285,Emergency Level 5,$527.12,LA
Ochsner Medical Center - Northshore,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$87.34,LA
Ochsner Medical Center - Northshore,Speech,HCPCS 92507,Speech Therapy,$62.70,LA
Ochsner Medical Center - Northshore,Speech,HCPCS 92610,Swallow Evaluation,$132.66,LA
Ochsner Medical Center - Northshore,Speech,HCPCS 92526,Swallow Treatment,$44.22,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 85018,"Blood count, hemoglobin",$26.84,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$26.84,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$38.50,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$29.92,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 85610,"Blood test, clotting time",$43.34,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 85730,Coagulation assessment blood test,$43.34,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$13.42,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$93.72,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 85027,"Complete blood count, automated",$22.44,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$27.06,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$105.38,LA
Ochsner Medical Center - Northshore,Blood,HCPCS 85660,Red blood cell sickling measurement,$38.06,LA
Ochsner Medical Center - Northshore,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$3.52,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$43.56,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$205.70,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82040,Albumin (protein) level,$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$25.96,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$39.82,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82140,Ammonia level,$149.60,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82150,Amylase (enzyme) level,$98.56,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$57.86,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$192.28,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84439,Assay of free thyroxine,$75.46,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$31.90,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82248,Bilirubin level (Direct),$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82247,Bilirubin level (Total),$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82565,Blood creatinine level,$15.18,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84295,Blood sodium level,$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$152.24,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82310,Calcium level,$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$170.28,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82465,Cholesterol level,$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82525,Copper level,$126.94,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82533,Cortisol Measurement,$225.50,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84681,C-peptide (protein) level,$96.80,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$49.28,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$78.76,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$159.50,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$16.72,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$147.84,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82746,Folic acid; serum,$88.66,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$154.22,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$83.60,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$56.54,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$37.18,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$204.82,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$4.84,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83718,HDL cholesterol level,$40.04,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83020,Hemoglobin Measurement,$55.00,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$20.46,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$24.64,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83520,IgE (immune system protein) level,$103.62,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83525,Insulin Measurement; Total,$95.04,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82330,Ionized Calcium,$22.66,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83550,Iron Binding Capacity,$61.60,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83540,Iron level,$61.60,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$51.70,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83721,LDL cholesterol level,$14.08,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$57.64,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$29.26,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83021,Liver function blood test panel,$32.34,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83735,Magnesium Level,$123.86,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82542,Mass spectrometry,$23.76,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$10.56,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$5.06,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83918,Organic acid level,$165.44,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83945,Oxalate level,$5.50,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83970,Parathormone,$27.06,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$69.96,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84157,Prealbumin (protein) level,$67.98,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$28.82,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$135.52,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$33.00,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82270,Stool analysis for blood,$33.22,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84403,Testosterone (hormone) level,$58.96,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84402,Testosterone Level; Free,$4.40,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84479,"Thyroid Hormone, T3 Measurement, Free",$45.76,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$34.98,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$46.42,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84155,"Total protein level, blood",$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$24.86,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84478,Triglycerides level,$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84166,Troponin (protein) analysis,$33.00,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84560,Uric acid level,$47.74,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84550,"Uric acid level, blood",$14.30,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82340,Urine calcium level,$69.96,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82436,Urine chloride level,$62.92,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$28.60,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$39.16,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$124.08,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84133,Urine potassium level,$59.84,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84300,Urine sodium level,$59.62,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84591,Vitamin B-6 level,$19.80,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$29.04,LA
Ochsner Medical Center - Northshore,Chemistry,HCPCS 84630,Zinc level,$101.20,LA
Ochsner Medical Center - Northshore,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$11.22,LA
Ochsner Medical Center - Northshore,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$19.36,LA
Ochsner Medical Center - Northshore,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,$8.58,LA
Ochsner Medical Center - Northshore,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$116.38,LA
Ochsner Medical Center - Northshore,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$116.60,LA
Ochsner Medical Center - Northshore,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$73.70,LA
Ochsner Medical Center - Northshore,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$69.96,LA
Ochsner Medical Center - Northshore,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$20.68,LA
Ochsner Medical Center - Northshore,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$19.80,LA
