Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Emerson Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$178.41,MA
Emerson Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,394.22",MA
Emerson Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$162.45,MA
Emerson Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$223.44,MA
Emerson Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$333.45,MA
Emerson Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$482.22,MA
Emerson Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$686.28,MA
Emerson Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$203.49,MA
Emerson Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$203.49,MA
Emerson Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$203.49,MA
Emerson Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$88.35,MA
Emerson Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$106.02,MA
Emerson Hospital,Psychology,HCPCS 90853,Group psychotherapy,$229.14,MA
Emerson Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$234.27,MA
Emerson Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$234.27,MA
Emerson Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$423.51,MA
Emerson Hospital,Speech,HCPCS 92507,Speech Therapy,$164.16,MA
Emerson Hospital,Speech,HCPCS 92610,Swallow Evaluation,$266.76,MA
Emerson Hospital,Speech,HCPCS 92526,Swallow Treatment,$160.74,MA
Emerson Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$19.38,MA
Emerson Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$15.39,MA
Emerson Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$45.03,MA
Emerson Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$152.76,MA
Emerson Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$12.54,MA
Emerson Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$34.20,MA
