Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Fairview Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$697.17,MA
Fairview Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,776.55",MA
Fairview Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$158.73,MA
Fairview Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$233.39,MA
Fairview Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$538.55,MA
Fairview Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,253.06",MA
Fairview Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,938.20",MA
Fairview Hospital,Hospital,HCPCS 99234,Hospital observation care discharge,$328.87,MA
Fairview Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$332.28,MA
Fairview Hospital,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$390.21,MA
Fairview Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,$199.93,MA
Fairview Hospital,Hospital,HCPCS 99224,"Subsequent observation care, typically 35 minutes per day",$57.07,MA
Fairview Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$116.85,MA
Fairview Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$116.85,MA
Fairview Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$108.30,MA
Fairview Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$137.75,MA
Fairview Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$214.70,MA
Fairview Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$96.90,MA
Fairview Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$136.80,MA
Fairview Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$372.88,MA
Fairview Hospital,Speech,HCPCS 92507,Speech Therapy,$209.18,MA
Fairview Hospital,Speech,HCPCS 92610,Swallow Evaluation,$243.86,MA
Fairview Hospital,Speech,HCPCS 92526,Swallow Treatment,$158.83,MA
Fairview Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$18.34,MA
Fairview Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$18.34,MA
Fairview Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$31.19,MA
Fairview Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$89.61,MA
Fairview Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$25.82,MA
Fairview Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$39.46,MA
Fairview Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$25.82,MA
Fairview Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$54.05,MA
Fairview Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$61.79,MA
Fairview Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$24.18,MA
Fairview Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$36.31,MA
Fairview Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$357.76,MA
Fairview Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$185.51,MA
Fairview Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$139.83,MA
Fairview Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$33.46,MA
Fairview Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$67.37,MA
Fairview Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$116.80,MA
Fairview Hospital,Chemistry,HCPCS 82140,Ammonia level,$95.76,MA
Fairview Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$42.61,MA
Fairview Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$98.78,MA
Fairview Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$292.69,MA
Fairview Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$71.52,MA
Fairview Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$143.83,MA
Fairview Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$32.97,MA
Fairview Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$32.97,MA
Fairview Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$33.62,MA
Fairview Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$25.76,MA
Fairview Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$12.85,MA
Fairview Hospital,Chemistry,HCPCS 84295,Blood sodium level,$31.61,MA
Fairview Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$30.21,MA
Fairview Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$110.39,MA
Fairview Hospital,Chemistry,HCPCS 82310,Calcium level,$33.87,MA
Fairview Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$32.14,MA
Fairview Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$124.64,MA
Fairview Hospital,Chemistry,HCPCS 82465,Cholesterol level,$28.62,MA
Fairview Hospital,Chemistry,HCPCS 82525,Copper level,$173.17,MA
Fairview Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$214.81,MA
Fairview Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$89.09,MA
Fairview Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$42.87,MA
Fairview Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$98.32,MA
Fairview Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$112.41,MA
Fairview Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$136.74,MA
Fairview Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$89.52,MA
Fairview Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$96.62,MA
Fairview Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$108.19,MA
