Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Hebrew Rehabilitation Center - Boston,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$75.00,MA
Hebrew Rehabilitation Center - Boston,Psychology,HCPCS 90853,Group psychotherapy,$75.00,MA
Hebrew Rehabilitation Center - Boston,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$75.00,MA
Hebrew Rehabilitation Center - Boston,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$75.00,MA
Hebrew Rehabilitation Center - Boston,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$75.00,MA
Hebrew Rehabilitation Center - Boston,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$75.00,MA
Hebrew Rehabilitation Center - Boston,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$264.90,MA
Hebrew Rehabilitation Center - Boston,Speech,HCPCS 92507,Speech Therapy,$87.90,MA
Hebrew Rehabilitation Center - Boston,Speech,HCPCS 92610,Swallow Evaluation,$99.70,MA
Hebrew Rehabilitation Center - Boston,Speech,HCPCS 92526,Swallow Treatment,$98.40,MA
Hebrew Rehabilitation Center - Boston,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$23.40,MA
Hebrew Rehabilitation Center - Boston,Blood,HCPCS 85027,"Complete blood count, automated",$19.50,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 84439,Assay of free thyroxine,$27.10,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 82248,Bilirubin level (Direct),$15.10,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 82247,Bilirubin level (Total),$15.10,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 82565,Blood creatinine level,$15.40,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$50.40,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 82465,Cholesterol level,$13.10,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$45.30,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$40.90,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 82746,Folic acid; serum,$44.10,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 83550,Iron Binding Capacity,$26.30,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 83540,Iron level,$19.50,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$15.60,MA
Hebrew Rehabilitation Center - Boston,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$20.70,MA
Hebrew Rehabilitation Center - Boston,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$24.60,MA
Hebrew Rehabilitation Center - Boston,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$9.60,MA
