Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Holy Cross Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$30.00,MD
Holy Cross Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$93.09,MD
Holy Cross Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$186.18,MD
Holy Cross Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$372.36,MD
Holy Cross Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$624.28,MD
Holy Cross Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$650.64,MD
Holy Cross Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$308.11,MD
Holy Cross Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$96.91,MD
Holy Cross Hospital,Speech,HCPCS 92507,Speech Therapy,$48.46,MD
Holy Cross Hospital,Speech,HCPCS 92610,Swallow Evaluation,$222.51,MD
Holy Cross Hospital,Speech,HCPCS 92526,Swallow Treatment,$48.46,MD
Holy Cross Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$7.87,MD
Holy Cross Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$7.88,MD
Holy Cross Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$8.04,MD
Holy Cross Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$29.99,MD
Holy Cross Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$15.79,MD
Holy Cross Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$15.82,MD
Holy Cross Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$45.93,MD
Holy Cross Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$19.86,MD
Holy Cross Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$15.84,MD
Holy Cross Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$19.14,MD
Holy Cross Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$114.82,MD
Holy Cross Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$19.14,MD
Holy Cross Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$287.56,MD
Holy Cross Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$57.41,MD
Holy Cross Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$3.83,MD
Holy Cross Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$28.70,MD
Holy Cross Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$28.70,MD
