Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Stephens Memorial Hospital - Cah,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$171.79,ME
Stephens Memorial Hospital - Cah,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$171.79,ME
Stephens Memorial Hospital - Cah,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$171.79,ME
Stephens Memorial Hospital - Cah,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$171.79,ME
Stephens Memorial Hospital - Cah,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$171.79,ME
Stephens Memorial Hospital - Cah,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$171.79,ME
Stephens Memorial Hospital - Cah,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$171.79,ME
Stephens Memorial Hospital - Cah,Blood,HCPCS 85018,"Blood count, hemoglobin",$49.40,ME
Stephens Memorial Hospital - Cah,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$41.70,ME
Stephens Memorial Hospital - Cah,Blood,HCPCS 85610,"Blood test, clotting time",$69.70,ME
Stephens Memorial Hospital - Cah,Blood,HCPCS 85730,Coagulation assessment blood test,$70.95,ME
Stephens Memorial Hospital - Cah,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$95.45,ME
Stephens Memorial Hospital - Cah,Blood,HCPCS 85027,"Complete blood count, automated",$95.45,ME
Stephens Memorial Hospital - Cah,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$66.20,ME
Stephens Memorial Hospital - Cah,Chemistry,HCPCS 82040,Albumin (protein) level,$67.90,ME
Stephens Memorial Hospital - Cah,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$90.35,ME
Stephens Memorial Hospital - Cah,Chemistry,HCPCS 82150,Amylase (enzyme) level,$115.50,ME
