Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Bronson Battle Creek,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,230.59",MI
Bronson Battle Creek,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,118.30",MI
Bronson Battle Creek,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,118.30",MI
Bronson Battle Creek,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,118.30",MI
Bronson Battle Creek,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,118.30",MI
Bronson Battle Creek,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,118.30",MI
Bronson Battle Creek,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$211.20,MI
Bronson Battle Creek,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$211.20,MI
Bronson Battle Creek,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$136.80,MI
Bronson Battle Creek,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$102.31,MI
Bronson Battle Creek,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$102.31,MI
Bronson Battle Creek,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$207.36,MI
Bronson Battle Creek,Speech,HCPCS 92507,Speech Therapy,$166.40,MI
Bronson Battle Creek,Speech,HCPCS 92610,Swallow Evaluation,$213.60,MI
Bronson Battle Creek,Speech,HCPCS 92526,Swallow Treatment,$168.00,MI
Bronson Battle Creek,Blood,HCPCS 85018,"Blood count, hemoglobin",$24.80,MI
Bronson Battle Creek,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$18.72,MI
Bronson Battle Creek,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$42.94,MI
Bronson Battle Creek,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$42.94,MI
Bronson Battle Creek,Blood,HCPCS 85610,"Blood test, clotting time",$22.22,MI
Bronson Battle Creek,Blood,HCPCS 85730,Coagulation assessment blood test,$20.00,MI
Bronson Battle Creek,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$21.88,MI
Bronson Battle Creek,Blood,HCPCS 85027,"Complete blood count, automated",$21.88,MI
Bronson Battle Creek,Blood,HCPCS 85008,Microscopic examination for white blood cells,$18.76,MI
Bronson Battle Creek,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$50.41,MI
Bronson Battle Creek,Blood,HCPCS 85660,Red blood cell sickling measurement,$37.49,MI
Bronson Battle Creek,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$88.00,MI
Bronson Battle Creek,Chemistry,HCPCS 82040,Albumin (protein) level,$59.59,MI
Bronson Battle Creek,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$31.54,MI
Bronson Battle Creek,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$48.08,MI
Bronson Battle Creek,Chemistry,HCPCS 82140,Ammonia level,$38.40,MI
Bronson Battle Creek,Chemistry,HCPCS 82150,Amylase (enzyme) level,$24.00,MI
Bronson Battle Creek,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$31.48,MI
Bronson Battle Creek,Chemistry,HCPCS 84439,Assay of free thyroxine,$90.33,MI
Bronson Battle Creek,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$32.80,MI
Bronson Battle Creek,Chemistry,HCPCS 82248,Bilirubin level (Direct),$16.00,MI
Bronson Battle Creek,Chemistry,HCPCS 82247,Bilirubin level (Total),$16.00,MI
Bronson Battle Creek,Chemistry,HCPCS 82565,Blood creatinine level,$27.01,MI
Bronson Battle Creek,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$15.94,MI
Bronson Battle Creek,Chemistry,HCPCS 84132,Blood potassium level,$16.00,MI
Bronson Battle Creek,Chemistry,HCPCS 84295,Blood sodium level,$21.20,MI
Bronson Battle Creek,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$16.62,MI
Bronson Battle Creek,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$36.00,MI
Bronson Battle Creek,Chemistry,HCPCS 82310,Calcium level,$41.07,MI
Bronson Battle Creek,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$33.88,MI
Bronson Battle Creek,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$102.56,MI
Bronson Battle Creek,Chemistry,HCPCS 82465,Cholesterol level,$15.95,MI
Bronson Battle Creek,Chemistry,HCPCS 82525,Copper level,$35.20,MI
Bronson Battle Creek,Chemistry,HCPCS 82533,Cortisol Measurement,$50.85,MI
Bronson Battle Creek,Chemistry,HCPCS 84681,C-peptide (protein) level,$28.80,MI
Bronson Battle Creek,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$40.96,MI
Bronson Battle Creek,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$48.00,MI
Bronson Battle Creek,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$43.04,MI
Bronson Battle Creek,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$72.00,MI
Bronson Battle Creek,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$48.00,MI
Bronson Battle Creek,Chemistry,HCPCS 82746,Folic acid; serum,$48.00,MI
Bronson Battle Creek,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$55.21,MI
Bronson Battle Creek,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$54.40,MI
Bronson Battle Creek,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$27.94,MI
Bronson Battle Creek,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$50.40,MI
Bronson Battle Creek,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$60.00,MI
Bronson Battle Creek,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$66.40,MI
Bronson Battle Creek,Chemistry,HCPCS 83718,HDL cholesterol level,$23.95,MI
Bronson Battle Creek,Chemistry,HCPCS 83020,Hemoglobin Measurement,$75.57,MI
Bronson Battle Creek,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$40.00,MI
Bronson Battle Creek,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$32.80,MI
Bronson Battle Creek,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$64.21,MI
Bronson Battle Creek,Chemistry,HCPCS 83525,Insulin Measurement; Total,$78.08,MI
Bronson Battle Creek,Chemistry,HCPCS 82330,Ionized Calcium,$41.07,MI
Bronson Battle Creek,Chemistry,HCPCS 83540,Iron level,$20.00,MI
Bronson Battle Creek,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$17.06,MI
Bronson Battle Creek,Chemistry,HCPCS 83721,LDL cholesterol level,$46.88,MI
Bronson Battle Creek,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$23.99,MI
Bronson Battle Creek,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$14.97,MI
Bronson Battle Creek,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$93.17,MI
Bronson Battle Creek,Chemistry,HCPCS 83021,Liver function blood test panel,$75.57,MI
Bronson Battle Creek,Chemistry,HCPCS 83735,Magnesium Level,$20.00,MI
Bronson Battle Creek,Chemistry,HCPCS 82542,Mass spectrometry,$137.98,MI
Bronson Battle Creek,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$60.38,MI
Bronson Battle Creek,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$165.07,MI
Bronson Battle Creek,Chemistry,HCPCS 83918,Organic acid level,$59.20,MI
Bronson Battle Creek,Chemistry,HCPCS 83945,Oxalate level,$35.20,MI
Bronson Battle Creek,Chemistry,HCPCS 83970,Parathormone,$180.96,MI
Bronson Battle Creek,Chemistry,HCPCS 84157,Prealbumin (protein) level,$34.44,MI
Bronson Battle Creek,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$64.21,MI
Bronson Battle Creek,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$56.80,MI
Bronson Battle Creek,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$34.44,MI
Bronson Battle Creek,Chemistry,HCPCS 84403,Testosterone (hormone) level,$58.08,MI
Bronson Battle Creek,Chemistry,HCPCS 84402,Testosterone Level; Free,$58.08,MI
Bronson Battle Creek,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$36.40,MI
Bronson Battle Creek,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$58.40,MI
Bronson Battle Creek,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$90.33,MI
