Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Essentia Health-Graceville Clinic,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$627.48,MN
Essentia Health-Graceville Clinic,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,725.36",MN
Essentia Health-Graceville Clinic,Emergency Care,HCPCS 99281,Emergency Level 1,$181.44,MN
Essentia Health-Graceville Clinic,Emergency Care,HCPCS 99282,Emergency Level 2,$289.80,MN
Essentia Health-Graceville Clinic,Emergency Care,HCPCS 99283,Emergency Level 3,$472.08,MN
Essentia Health-Graceville Clinic,Emergency Care,HCPCS 99284,Emergency Level 4,$763.56,MN
Essentia Health-Graceville Clinic,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,112.16",MN
Essentia Health-Graceville Clinic,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$236.88,MN
Essentia Health-Graceville Clinic,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$210.00,MN
Essentia Health-Graceville Clinic,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$109.20,MN
Essentia Health-Graceville Clinic,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$247.80,MN
Essentia Health-Graceville Clinic,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$310.80,MN
Essentia Health-Graceville Clinic,Speech,HCPCS 92507,Speech Therapy,$204.12,MN
Essentia Health-Graceville Clinic,Speech,HCPCS 92610,Swallow Evaluation,$281.40,MN
Essentia Health-Graceville Clinic,Speech,HCPCS 92526,Swallow Treatment,$230.16,MN
Essentia Health-Graceville Clinic,Blood,HCPCS 85018,"Blood count, hemoglobin",$37.80,MN
Essentia Health-Graceville Clinic,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$53.76,MN
Essentia Health-Graceville Clinic,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$63.00,MN
Essentia Health-Graceville Clinic,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$82.32,MN
