Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Parkland Health Center - Farmington,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,746.60",MO
Parkland Health Center - Farmington,Emergency Care,HCPCS 99281,Emergency Level 1,$189.60,MO
Parkland Health Center - Farmington,Emergency Care,HCPCS 99282,Emergency Level 2,$344.40,MO
Parkland Health Center - Farmington,Emergency Care,HCPCS 99283,Emergency Level 3,$532.20,MO
Parkland Health Center - Farmington,Emergency Care,HCPCS 99284,Emergency Level 4,$846.00,MO
Parkland Health Center - Farmington,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,277.40",MO
Parkland Health Center - Farmington,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$462.60,MO
Parkland Health Center - Farmington,Speech,HCPCS 92507,Speech Therapy,$185.40,MO
Parkland Health Center - Farmington,Speech,HCPCS 92610,Swallow Evaluation,$140.40,MO
Parkland Health Center - Farmington,Speech,HCPCS 92526,Swallow Treatment,$259.20,MO
Parkland Health Center - Farmington,Blood,HCPCS 85610,"Blood test, clotting time",$13.80,MO
Parkland Health Center - Farmington,Blood,HCPCS 85730,Coagulation assessment blood test,$37.20,MO
Parkland Health Center - Farmington,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$38.40,MO
Parkland Health Center - Farmington,Blood,HCPCS 85027,"Complete blood count, automated",$56.40,MO
Parkland Health Center - Farmington,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$96.60,MO
Parkland Health Center - Farmington,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$87.60,MO
Parkland Health Center - Farmington,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$122.40,MO
Parkland Health Center - Farmington,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$61.80,MO
Parkland Health Center - Farmington,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$35.40,MO
