Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Salem Memorial District Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$270.00,MO
Salem Memorial District Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,548.75",MO
Salem Memorial District Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$135.00,MO
Salem Memorial District Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$157.50,MO
Salem Memorial District Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$232.50,MO
Salem Memorial District Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$525.00,MO
Salem Memorial District Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$877.50,MO
Salem Memorial District Hospital,Speech,HCPCS 92507,Speech Therapy,$390.00,MO
Salem Memorial District Hospital,Speech,HCPCS 92610,Swallow Evaluation,$577.50,MO
Salem Memorial District Hospital,Speech,HCPCS 92526,Swallow Treatment,$390.00,MO
Salem Memorial District Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$22.50,MO
Salem Memorial District Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$27.00,MO
Salem Memorial District Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$45.00,MO
Salem Memorial District Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$37.50,MO
Salem Memorial District Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$71.25,MO
Salem Memorial District Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$82.50,MO
Salem Memorial District Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$13.50,MO
Salem Memorial District Hospital,Blood,HCPCS 85008,Microscopic examination for white blood cells,$20.25,MO
Salem Memorial District Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$7.50,MO
Salem Memorial District Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$191.25,MO
Salem Memorial District Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$19.50,MO
Salem Memorial District Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$470.25,MO
Salem Memorial District Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$27.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$90.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$105.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$41.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$86.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$86.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82140,Ammonia level,$108.75,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$135.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$93.75,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$123.75,MO
Salem Memorial District Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$6.38,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$82.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$45.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$45.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$38.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$37.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 84132,Blood potassium level,$38.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 84295,Blood sodium level,$45.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$67.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$108.75,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82310,Calcium level,$21.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$34.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$108.75,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82465,Cholesterol level,$37.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82525,Copper level,$90.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$93.75,MO
Salem Memorial District Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$75.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$67.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$150.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$86.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$108.75,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$86.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$28.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$27.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$41.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$105.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$198.75,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$150.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$86.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83718,HDL cholesterol level,$75.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$191.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$34.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$97.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$90.00,MO
Salem Memorial District Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$41.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$101.25,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83540,Iron level,$67.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$67.50,MO
Salem Memorial District Hospital,Chemistry,HCPCS 83721,LDL cholesterol level,$33.00,MO
