Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Baptist Memorial Hospital-Golden Triangle,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$361.25,MS
Baptist Memorial Hospital-Golden Triangle,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$452.00,MS
Baptist Memorial Hospital-Golden Triangle,Emergency Care,HCPCS 99281,Emergency Level 1,$77.00,MS
Baptist Memorial Hospital-Golden Triangle,Emergency Care,HCPCS 99282,Emergency Level 2,$115.50,MS
Baptist Memorial Hospital-Golden Triangle,Emergency Care,HCPCS 99283,Emergency Level 3,$162.75,MS
Baptist Memorial Hospital-Golden Triangle,Emergency Care,HCPCS 99284,Emergency Level 4,$234.50,MS
Baptist Memorial Hospital-Golden Triangle,Emergency Care,HCPCS 99285,Emergency Level 5,$313.50,MS
Baptist Memorial Hospital-Golden Triangle,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$45.25,MS
Baptist Memorial Hospital-Golden Triangle,Hospital,HCPCS 99224,"Subsequent observation care, typically 35 minutes per day",$16.75,MS
Baptist Memorial Hospital-Golden Triangle,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$121.75,MS
Baptist Memorial Hospital-Golden Triangle,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$149.50,MS
Baptist Memorial Hospital-Golden Triangle,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$79.50,MS
Baptist Memorial Hospital-Golden Triangle,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$106.50,MS
Baptist Memorial Hospital-Golden Triangle,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$147.75,MS
Baptist Memorial Hospital-Golden Triangle,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$140.50,MS
Baptist Memorial Hospital-Golden Triangle,Psychology,HCPCS 90853,Group psychotherapy,$91.00,MS
Baptist Memorial Hospital-Golden Triangle,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$93.75,MS
Baptist Memorial Hospital-Golden Triangle,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$50.25,MS
Baptist Memorial Hospital-Golden Triangle,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$117.50,MS
Baptist Memorial Hospital-Golden Triangle,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$128.50,MS
Baptist Memorial Hospital-Golden Triangle,Speech,HCPCS 92507,Speech Therapy,$231.75,MS
