Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Merit Health Natchez,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$284.55,MS
Merit Health Natchez,Emergency Care,HCPCS 99281,Emergency Level 1,$182.70,MS
Merit Health Natchez,Blood,HCPCS 85018,"Blood count, hemoglobin",$42.70,MS
Merit Health Natchez,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$42.35,MS
Merit Health Natchez,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$92.05,MS
Merit Health Natchez,Blood,HCPCS 85610,"Blood test, clotting time",$120.40,MS
Merit Health Natchez,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$6.65,MS
Merit Health Natchez,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$19.95,MS
Merit Health Natchez,Blood,HCPCS 85660,Red blood cell sickling measurement,$71.05,MS
Merit Health Natchez,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$505.05,MS
Merit Health Natchez,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$60.90,MS
Merit Health Natchez,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$295.05,MS
Merit Health Natchez,Chemistry,HCPCS 82040,Albumin (protein) level,$165.20,MS
Merit Health Natchez,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$115.85,MS
Merit Health Natchez,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$164.50,MS
Merit Health Natchez,Chemistry,HCPCS 82140,Ammonia level,$147.00,MS
Merit Health Natchez,Chemistry,HCPCS 82150,Amylase (enzyme) level,$205.10,MS
Merit Health Natchez,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$122.50,MS
Merit Health Natchez,Chemistry,HCPCS 84439,Assay of free thyroxine,$227.85,MS
Merit Health Natchez,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$57.75,MS
Merit Health Natchez,Chemistry,HCPCS 82248,Bilirubin level (Direct),$116.90,MS
Merit Health Natchez,Chemistry,HCPCS 82247,Bilirubin level (Total),$38.85,MS
Merit Health Natchez,Chemistry,HCPCS 82565,Blood creatinine level,$65.80,MS
Merit Health Natchez,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$77.70,MS
Merit Health Natchez,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$269.50,MS
Merit Health Natchez,Chemistry,HCPCS 82310,Calcium level,$71.40,MS
Merit Health Natchez,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$365.40,MS
Merit Health Natchez,Chemistry,HCPCS 82465,Cholesterol level,$122.15,MS
Merit Health Natchez,Chemistry,HCPCS 82525,Copper level,$91.70,MS
Merit Health Natchez,Chemistry,HCPCS 82533,Cortisol Measurement,$140.35,MS
Merit Health Natchez,Chemistry,HCPCS 84681,C-peptide (protein) level,$115.50,MS
Merit Health Natchez,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$110.60,MS
Merit Health Natchez,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$188.65,MS
Merit Health Natchez,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$167.65,MS
Merit Health Natchez,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$255.15,MS
Merit Health Natchez,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$222.95,MS
Merit Health Natchez,Chemistry,HCPCS 82746,Folic acid; serum,$199.15,MS
Merit Health Natchez,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$235.55,MS
Merit Health Natchez,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$115.85,MS
Merit Health Natchez,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",$200.90,MS
Merit Health Natchez,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$145.60,MS
Merit Health Natchez,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$154.00,MS
Merit Health Natchez,Chemistry,HCPCS 83020,Hemoglobin Measurement,$56.35,MS
Merit Health Natchez,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$466.55,MS
Merit Health Natchez,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$84.35,MS
Merit Health Natchez,Chemistry,HCPCS 83520,IgE (immune system protein) level,$242.90,MS
Merit Health Natchez,Chemistry,HCPCS 83525,Insulin Measurement; Total,$125.65,MS
Merit Health Natchez,Chemistry,HCPCS 82330,Ionized Calcium,$139.65,MS
Merit Health Natchez,Chemistry,HCPCS 83550,Iron Binding Capacity,$262.85,MS
Merit Health Natchez,Chemistry,HCPCS 83540,Iron level,$224.00,MS
Merit Health Natchez,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$199.85,MS
Merit Health Natchez,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$191.80,MS
Merit Health Natchez,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$60.55,MS
Merit Health Natchez,Chemistry,HCPCS 83735,Magnesium Level,$108.15,MS
Merit Health Natchez,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$340.90,MS
Merit Health Natchez,Chemistry,HCPCS 83970,Parathormone,$478.80,MS
Merit Health Natchez,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$135.45,MS
Merit Health Natchez,Chemistry,HCPCS 84403,Testosterone (hormone) level,$270.20,MS
Merit Health Natchez,Chemistry,HCPCS 84402,Testosterone Level; Free,$80.15,MS
Merit Health Natchez,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$96.60,MS
Merit Health Natchez,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$136.15,MS
Merit Health Natchez,Chemistry,HCPCS 84155,"Total protein level, blood",$103.25,MS
Merit Health Natchez,Chemistry,HCPCS 84478,Triglycerides level,$92.40,MS
Merit Health Natchez,Chemistry,HCPCS 84560,Uric acid level,$45.50,MS
Merit Health Natchez,Chemistry,HCPCS 84550,"Uric acid level, blood",$164.15,MS
Merit Health Natchez,Chemistry,HCPCS 82340,Urine calcium level,$87.85,MS
Merit Health Natchez,Chemistry,HCPCS 82436,Urine chloride level,$261.80,MS
Merit Health Natchez,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$110.25,MS
Merit Health Natchez,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$101.50,MS
Merit Health Natchez,Chemistry,HCPCS 84133,Urine potassium level,$80.85,MS
Merit Health Natchez,Chemistry,HCPCS 84300,Urine sodium level,$243.95,MS
Merit Health Natchez,Chemistry,HCPCS 84630,Zinc level,$201.60,MS
Merit Health Natchez,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$438.20,MS
Merit Health Natchez,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$191.80,MS
Merit Health Natchez,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$24.85,MS
Merit Health Natchez,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$184.45,MS
Merit Health Natchez,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$266.00,MS
Merit Health Natchez,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$128.45,MS
Merit Health Natchez,Immunology,HCPCS 86334,Immunofixation electrophoresis; serum,$191.80,MS
Merit Health Natchez,Immunology,HCPCS 86140,Measurement C-reactive protein,$32.55,MS
Merit Health Natchez,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$42.00,MS
Merit Health Natchez,Immunology,HCPCS 86161,Measurement of complement (immune system proteins),$511.00,MS
Merit Health Natchez,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$394.10,MS
Merit Health Natchez,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$126.70,MS
Merit Health Natchez,Immunology,HCPCS 86431,Rheumatoid factor level,$80.15,MS
Merit Health Natchez,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$230.30,MS
Merit Health Natchez,Immunology,HCPCS 86592,Syphilis Detection Test,$49.00,MS
Merit Health Natchez,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",$260.40,MS
Merit Health Natchez,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$16.45,MS
Merit Health Natchez,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$167.65,MS
Merit Health Natchez,Microbiology,HCPCS 87491,Chlamydia Test,$76.30,MS
Merit Health Natchez,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),$54.60,MS
Merit Health Natchez,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",$432.25,MS
Merit Health Natchez,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$88.55,MS
Merit Health Natchez,Microbiology,HCPCS 87536,"Detection test for HIV-1 virus, quantification",$307.30,MS
Merit Health Natchez,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$54.60,MS
Merit Health Natchez,Microbiology,HCPCS 87517,Hepatitis B Detection,$558.25,MS
Merit Health Natchez,Microbiology,HCPCS 86735,Mumps virus antibody test,$141.40,MS
Merit Health Natchez,Microbiology,HCPCS 86747,Parvovirus antibody test,$157.50,MS
Merit Health Natchez,Microbiology,HCPCS 86762,Rubella virus antibody test,$117.25,MS
Merit Health Natchez,Microbiology,HCPCS 86765,Rubeola virus antibody test,$45.15,MS
Merit Health Natchez,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$334.25,MS
Merit Health Natchez,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,$359.80,MS
Merit Health Natchez,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$501.20,MS
Merit Health Natchez,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$424.55,MS
Merit Health Natchez,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$242.20,MS
Merit Health Natchez,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$165.20,MS
Merit Health Natchez,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$555.45,MS
Merit Health Natchez,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$244.30,MS
Merit Health Natchez,Therapeutic Drug Assays,HCPCS 80162,Digoxin level,$211.05,MS
Merit Health Natchez,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,$144.55,MS
Merit Health Natchez,Therapeutic Drug Assays,HCPCS 80184,Phenobarbital level,$171.85,MS
Merit Health Natchez,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,$156.80,MS
Merit Health Natchez,Therapeutic Drug Assays,HCPCS 80197,Tacrolimus Level,$158.55,MS
Merit Health Natchez,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,$143.85,MS
Merit Health Natchez,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,$236.95,MS
Merit Health Natchez,Transfusion,HCPCS 86900,"Blood Typing, ABO",$77.70,MS
Merit Health Natchez,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$77.00,MS
Merit Health Natchez,Transfusion,HCPCS 86922,Blood Unit Compatibility Test; Antiglobulin Technique,$190.05,MS
Merit Health Natchez,Transfusion,HCPCS 86880,Red blood cell (RBC) antibody detection test,$176.05,MS
Merit Health Natchez,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$207.55,MS
Merit Health Natchez,Urinalysis,HCPCS 81025,Urine Pregnancy Test,$178.85,MS
Merit Health Natchez,Pulmonary,HCPCS 94640,Nebulizer Treatment,$169.05,MS
Merit Health Natchez,Pulmonary,HCPCS 94010,Spirometry - breathing test,$422.10,MS
Merit Health Natchez,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",$213.85,MS
Merit Health Natchez,Breast,HCPCS 77067,Mammogram Screening,$257.60,MS
Merit Health Natchez,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,"$1,720.60",MS
Merit Health Natchez,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,"$3,286.50",MS
Merit Health Natchez,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,"$2,429.35",MS
Merit Health Natchez,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material","$1,990.45",MS
Merit Health Natchez,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material","$1,636.95",MS
Merit Health Natchez,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)","$1,658.30",MS
Merit Health Natchez,MRI,HCPCS 72146,MRI chest spine without contrast material,"$1,795.85",MS
Merit Health Natchez,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$1,255.45",MS
Merit Health Natchez,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,"$3,319.40",MS
Merit Health Natchez,MRI,HCPCS 72141,MRI neck spine without contrast material,"$1,107.40",MS
Merit Health Natchez,MRI,HCPCS 72156,MRI neck spine without & with contrast material,"$1,413.30",MS
Merit Health Natchez,MRI,HCPCS 74183,MRI of abdomen without & with contrast material,"$2,372.65",MS
Merit Health Natchez,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,"$1,413.30",MS
Merit Health Natchez,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$2,691.15",MS
Merit Health Natchez,MRI,HCPCS 70551,MRI scan of brain (including brain stem); without contrast material,"$1,321.95",MS
Merit Health Natchez,Ultrasound,HCPCS 76805,"Abdominal ultrasound of pregnant uterus, first trimester",$519.75,MS
Merit Health Natchez,Ultrasound,HCPCS 76857,Ultrasound of pelvis,$562.80,MS
Merit Health Natchez,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$600.25,MS
Merit Health Natchez,Ultrasound,HCPCS 76881,Ultrasound Veins of Both Arms or Legs,$177.10,MS
Merit Health Natchez,Chest,HCPCS 71045,X-ray of chest; Single View,$231.00,MS
Merit Health Natchez,Lower Limbs,HCPCS 73610,"X-ray Ankle, 3 Views",$228.90,MS
Merit Health Natchez,Lower Limbs,HCPCS 73562,"X-ray exam of knee, 3 views",$365.05,MS
Merit Health Natchez,Lower Limbs,HCPCS 73552,"X-ray Femur, 2 Views",$373.80,MS
Merit Health Natchez,Lower Limbs,HCPCS 73560,"X-ray Knee, 1-2 Views",$369.60,MS
Merit Health Natchez,Lower Limbs,HCPCS 73590,"X-ray Lower Leg, 2 Views",$347.55,MS
Merit Health Natchez,Upper Limbs,HCPCS 73080,"X-ray Elbow, 3 Views",$331.80,MS
Merit Health Natchez,Upper Limbs,HCPCS 73120,"X-ray Hand, 2 Views",$232.40,MS
Merit Health Natchez,Vascular,HCPCS 36430,Transfusion of Blood or Blood Products,$850.15,MS
