Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Ms Baptist Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,MS
Ms Baptist Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,MS
Ms Baptist Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,MS
Ms Baptist Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,-,MS
Ms Baptist Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,-,MS
Ms Baptist Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,-,MS
Ms Baptist Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,-,MS
Ms Baptist Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),-,MS
Ms Baptist Medical Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),-,MS
Ms Baptist Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,MS
Ms Baptist Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,MS
Ms Baptist Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,MS
Ms Baptist Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,MS
Ms Baptist Medical Center,Speech,HCPCS 92507,Speech Therapy,-,MS
Ms Baptist Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,MS
Ms Baptist Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,MS
Ms Baptist Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,MS
Ms Baptist Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,MS
Ms Baptist Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,MS
Ms Baptist Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,MS
Ms Baptist Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,MS
Ms Baptist Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,-,MS
Ms Baptist Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,MS
Ms Baptist Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,MS
Ms Baptist Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",-,MS
Ms Baptist Medical Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,-,MS
Ms Baptist Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,MS
