Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Singing River Health System,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$80.00,MS
Singing River Health System,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$80.00,MS
Singing River Health System,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$80.00,MS
Singing River Health System,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$71.96,MS
Singing River Health System,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$79.69,MS
Singing River Health System,Psychology,HCPCS 90853,Group psychotherapy,$53.27,MS
Singing River Health System,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$29.70,MS
Singing River Health System,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$34.02,MS
Singing River Health System,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$37.80,MS
Singing River Health System,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$60.07,MS
Singing River Health System,Speech,HCPCS 92507,Speech Therapy,$68.30,MS
Singing River Health System,Speech,HCPCS 92610,Swallow Evaluation,$27.60,MS
Singing River Health System,Speech,HCPCS 92526,Swallow Treatment,$68.30,MS
Singing River Health System,Blood,HCPCS 85610,"Blood test, clotting time",$40.05,MS
Singing River Health System,Blood,HCPCS 85730,Coagulation assessment blood test,$53.60,MS
Singing River Health System,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.50,MS
Singing River Health System,Blood,HCPCS 85027,"Complete blood count, automated",$64.70,MS
Singing River Health System,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$99.62,MS
Singing River Health System,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$93.15,MS
Singing River Health System,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$152.67,MS
Singing River Health System,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$128.72,MS
Singing River Health System,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$119.67,MS
Singing River Health System,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$152.02,MS
Singing River Health System,Organ or Disease Oriented Panels,HCPCS 80055,Obstetric blood test panel,$20.90,MS
Singing River Health System,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$7.11,MS
Singing River Health System,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$29.76,MS
Singing River Health System,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$71.16,MS
Singing River Health System,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",$476.16,MS
Singing River Health System,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",$137.29,MS
Singing River Health System,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,$417.37,MS
Singing River Health System,Cardiovascular,HCPCS 93975,Ultrasound Heart,$357.51,MS
Singing River Health System,Pulmonary,HCPCS 94640,Aerosol Treatment,$20.90,MS
Singing River Health System,Pulmonary,HCPCS 94618,Pulmonary stress test,$87.90,MS
Singing River Health System,Pulmonary,HCPCS 94010,Spirometry - breathing test,$120.38,MS
Singing River Health System,Sleep,HCPCS 95810,Sleep study,"$1,311.72",MS
Singing River Health System,Breast,HCPCS 77063,3D Mammogram Screening (Tomosynthesis),$26.60,MS
Singing River Health System,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",$75.05,MS
Singing River Health System,Breast,HCPCS 77067,Mammogram Screening,$88.14,MS
Singing River Health System,Breast,HCPCS 77066,Mammography of both breasts,$90.52,MS
Singing River Health System,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,$411.81,MS
Singing River Health System,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,$678.92,MS
Singing River Health System,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$678.92,MS
Singing River Health System,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",$232.83,MS
