Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Roosevelt Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,MT
Roosevelt Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,MT
Roosevelt Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,-,MT
Roosevelt Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,-,MT
Roosevelt Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,-,MT
Roosevelt Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,-,MT
Roosevelt Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,MT
Roosevelt Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,MT
Roosevelt Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,MT
Roosevelt Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,MT
Roosevelt Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,MT
Roosevelt Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,-,MT
Roosevelt Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,MT
Roosevelt Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",-,MT
Roosevelt Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,MT
Roosevelt Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,-,MT
Roosevelt Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",-,MT
Roosevelt Medical Center,Blood,HCPCS 85041,"Red blood count, automated test",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82140,Ammonia level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84295,Blood sodium level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82310,Calcium level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82465,Cholesterol level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82525,Copper level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83718,HDL cholesterol level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83520,IgE (immune system protein) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83540,Iron level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83721,LDL cholesterol level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83735,Magnesium Level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83918,Organic acid level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83970,Parathormone,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82270,Stool analysis for blood,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84402,Testosterone Level; Free,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84479,"Thyroid Hormone, T3 Measurement, Free",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84155,"Total protein level, blood",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82340,Urine calcium level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84300,Urine sodium level,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,-,MT
Roosevelt Medical Center,Chemistry,HCPCS 84630,Zinc level,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),-,MT
Roosevelt Medical Center,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),-,MT
Roosevelt Medical Center,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",-,MT
Roosevelt Medical Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86334,Immunologic analysis technique on body fluid; Immunofixation electrophoresis,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86140,Measurement C-reactive protein,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86255,Measurement of antibody to noninfectious agent,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),-,MT
Roosevelt Medical Center,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86431,Rheumatoid factor level,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),-,MT
Roosevelt Medical Center,Immunology,HCPCS 86592,Syphilis Detection Test,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86361,T cell count and ratio,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",-,MT
Roosevelt Medical Center,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,-,MT
Roosevelt Medical Center,Immunology,HCPCS 86580,Tuberculosis Test,-,MT
Roosevelt Medical Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",-,MT
Roosevelt Medical Center,Microbiology,HCPCS 87491,Chlamydia Test,-,MT
Roosevelt Medical Center,Microbiology,HCPCS 87635,Covid-19 current infection test,-,MT
Roosevelt Medical Center,Microbiology,HCPCS 87493,Detection test for clostridium difficile,-,MT
Roosevelt Medical Center,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),-,MT
Roosevelt Medical Center,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",-,MT
