Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Carolinaeast Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$392.40,NC
Carolinaeast Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,647.00",NC
Carolinaeast Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$142.20,NC
Carolinaeast Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$261.60,NC
Carolinaeast Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$497.40,NC
Carolinaeast Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$826.20,NC
Carolinaeast Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,239.00",NC
Carolinaeast Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$117.00,NC
Carolinaeast Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$117.00,NC
Carolinaeast Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$49.80,NC
Carolinaeast Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$143.40,NC
Carolinaeast Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$80.40,NC
Carolinaeast Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$114.00,NC
Carolinaeast Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$150.35,NC
Carolinaeast Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$240.00,NC
Carolinaeast Medical Center,Speech,HCPCS 92507,Speech Therapy,$124.20,NC
Carolinaeast Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$145.20,NC
Carolinaeast Medical Center,Speech,HCPCS 92526,Swallow Treatment,$111.60,NC
Carolinaeast Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$21.58,NC
Carolinaeast Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$27.14,NC
Carolinaeast Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$48.00,NC
Carolinaeast Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$95.33,NC
Carolinaeast Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$34.20,NC
Carolinaeast Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$42.60,NC
Carolinaeast Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$73.20,NC
Carolinaeast Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$50.40,NC
Carolinaeast Medical Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,$16.80,NC
Carolinaeast Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$30.02,NC
Carolinaeast Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$39.60,NC
Carolinaeast Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$226.80,NC
Carolinaeast Medical Center,Blood,HCPCS 85041,"Red blood count, automated test",$11.40,NC
Carolinaeast Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$133.80,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$182.40,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$28.20,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$88.80,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$102.60,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82140,Ammonia level,$63.00,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$78.00,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$82.20,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$109.80,NC
Carolinaeast Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$85.80,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$85.20,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$33.00,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$64.28,NC
Carolinaeast Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$36.00,NC
