Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Holy Rosary Healthcare,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$179.55,NC
Holy Rosary Healthcare,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$357.00,NC
Holy Rosary Healthcare,Emergency Care,HCPCS 99281,Emergency Level 1,$36.40,NC
Holy Rosary Healthcare,Emergency Care,HCPCS 99282,Emergency Level 2,$70.00,NC
Holy Rosary Healthcare,Emergency Care,HCPCS 99283,Emergency Level 3,$104.65,NC
Holy Rosary Healthcare,Emergency Care,HCPCS 99284,Emergency Level 4,$192.15,NC
Holy Rosary Healthcare,Emergency Care,HCPCS 99285,Emergency Level 5,$279.13,NC
Holy Rosary Healthcare,Hospital,HCPCS 99234,Hospital observation care discharge,$114.24,NC
Holy Rosary Healthcare,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$148.05,NC
Holy Rosary Healthcare,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$185.88,NC
Holy Rosary Healthcare,Hospital,HCPCS 99218,Hospital Observation per Hour,$85.44,NC
Holy Rosary Healthcare,Hospital,HCPCS 99224,"Subsequent observation care, typically 35 minutes per day",$33.96,NC
Holy Rosary Healthcare,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$115.40,NC
Holy Rosary Healthcare,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$123.34,NC
Holy Rosary Healthcare,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$121.63,NC
Holy Rosary Healthcare,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$247.00,NC
Holy Rosary Healthcare,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$169.02,NC
Holy Rosary Healthcare,Speech,HCPCS 92507,Speech Therapy,$140.88,NC
Holy Rosary Healthcare,Speech,HCPCS 92610,Swallow Evaluation,$226.14,NC
Holy Rosary Healthcare,Speech,HCPCS 92526,Swallow Treatment,$162.86,NC
Holy Rosary Healthcare,Blood,HCPCS 85018,"Blood count, hemoglobin",$26.95,NC
Holy Rosary Healthcare,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$27.16,NC
Holy Rosary Healthcare,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$24.64,NC
Holy Rosary Healthcare,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$87.64,NC
Holy Rosary Healthcare,Blood,HCPCS 85610,"Blood test, clotting time",$29.40,NC
Holy Rosary Healthcare,Blood,HCPCS 85730,Coagulation assessment blood test,$64.26,NC
Holy Rosary Healthcare,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$33.95,NC
Holy Rosary Healthcare,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$57.89,NC
Holy Rosary Healthcare,Blood,HCPCS 85027,"Complete blood count, automated",$72.00,NC
Holy Rosary Healthcare,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$12.32,NC
Holy Rosary Healthcare,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$104.41,NC
Holy Rosary Healthcare,Blood,HCPCS 85660,Red blood cell sickling measurement,$55.41,NC
Holy Rosary Healthcare,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$485.70,NC
Holy Rosary Healthcare,Blood,HCPCS 85041,"Red blood count, automated test",$37.77,NC
Holy Rosary Healthcare,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$178.50,NC
Holy Rosary Healthcare,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$99.54,NC
