Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Pioneer Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$827.20,NC
Pioneer Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,679.20",NC
Pioneer Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$196.80,NC
Pioneer Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$303.20,NC
Pioneer Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$500.00,NC
Pioneer Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$860.80,NC
Pioneer Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,351.20",NC
Pioneer Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$170.40,NC
Pioneer Medical Center,Speech,HCPCS 92507,Speech Therapy,$175.20,NC
Pioneer Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$408.00,NC
Pioneer Medical Center,Speech,HCPCS 92526,Swallow Treatment,$196.80,NC
Pioneer Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$39.20,NC
Pioneer Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$37.60,NC
Pioneer Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$70.40,NC
Pioneer Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$132.80,NC
Pioneer Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$48.80,NC
Pioneer Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$88.80,NC
Pioneer Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$77.60,NC
Pioneer Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$66.40,NC
Pioneer Medical Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,$26.40,NC
Pioneer Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$47.20,NC
Pioneer Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$236.00,NC
Pioneer Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$34.40,NC
Pioneer Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$508.80,NC
Pioneer Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$108.00,NC
Pioneer Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$294.40,NC
Pioneer Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$33.60,NC
Pioneer Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$132.00,NC
Pioneer Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$153.60,NC
Pioneer Medical Center,Chemistry,HCPCS 82140,Ammonia level,$132.00,NC
Pioneer Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$88.00,NC
Pioneer Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$164.00,NC
Pioneer Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$237.60,NC
Pioneer Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$101.60,NC
Pioneer Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$180.00,NC
Pioneer Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$44.80,NC
Pioneer Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$37.60,NC
Pioneer Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$44.80,NC
Pioneer Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$37.60,NC
Pioneer Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$48.00,NC
Pioneer Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$33.60,NC
