Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St. Vincent Healthcare,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$711.06,NC
St. Vincent Healthcare,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,422.44",NC
St. Vincent Healthcare,Emergency Care,HCPCS 99281,Emergency Level 1,$188.65,NC
St. Vincent Healthcare,Emergency Care,HCPCS 99282,Emergency Level 2,$292.39,NC
St. Vincent Healthcare,Emergency Care,HCPCS 99283,Emergency Level 3,$453.18,NC
St. Vincent Healthcare,Emergency Care,HCPCS 99284,Emergency Level 4,$702.42,NC
St. Vincent Healthcare,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,088.64",NC
St. Vincent Healthcare,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$311.00,NC
St. Vincent Healthcare,Hospital,HCPCS 99218,Hospital Observation per Hour,$229.00,NC
St. Vincent Healthcare,Hospital,HCPCS 99224,"Subsequent observation care, typically 35 minutes per day",$91.00,NC
St. Vincent Healthcare,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$115.40,NC
St. Vincent Healthcare,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$123.34,NC
St. Vincent Healthcare,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$107.45,NC
St. Vincent Healthcare,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$222.50,NC
St. Vincent Healthcare,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$358.00,NC
St. Vincent Healthcare,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$222.53,NC
St. Vincent Healthcare,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$307.34,NC
St. Vincent Healthcare,Speech,HCPCS 92507,Speech Therapy,$127.82,NC
St. Vincent Healthcare,Speech,HCPCS 92610,Swallow Evaluation,$366.00,NC
St. Vincent Healthcare,Speech,HCPCS 92526,Swallow Treatment,$119.81,NC
St. Vincent Healthcare,Blood,HCPCS 85018,"Blood count, hemoglobin",$7.18,NC
St. Vincent Healthcare,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$7.18,NC
St. Vincent Healthcare,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$14.42,NC
St. Vincent Healthcare,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$39.03,NC
St. Vincent Healthcare,Blood,HCPCS 85610,"Blood test, clotting time",$11.90,NC
St. Vincent Healthcare,Blood,HCPCS 85730,Coagulation assessment blood test,$18.20,NC
St. Vincent Healthcare,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$11.94,NC
St. Vincent Healthcare,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$23.59,NC
St. Vincent Healthcare,Blood,HCPCS 85027,"Complete blood count, automated",$19.60,NC
St. Vincent Healthcare,Blood,HCPCS 85008,Microscopic examination for white blood cells,$10.43,NC
St. Vincent Healthcare,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$10.43,NC
St. Vincent Healthcare,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$41.93,NC
St. Vincent Healthcare,Blood,HCPCS 85660,Red blood cell sickling measurement,$16.73,NC
St. Vincent Healthcare,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$353.75,NC
St. Vincent Healthcare,Blood,HCPCS 85041,"Red blood count, automated test",$9.14,NC
St. Vincent Healthcare,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$102.90,NC
St. Vincent Healthcare,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$117.08,NC
St. Vincent Healthcare,Chemistry,HCPCS 82040,Albumin (protein) level,$12.67,NC
St. Vincent Healthcare,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$40.74,NC
St. Vincent Healthcare,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$50.86,NC
St. Vincent Healthcare,Chemistry,HCPCS 82140,Ammonia level,$39.83,NC
St. Vincent Healthcare,Chemistry,HCPCS 82150,Amylase (enzyme) level,$19.67,NC
St. Vincent Healthcare,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$44.28,NC
St. Vincent Healthcare,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$58.66,NC
St. Vincent Healthcare,Chemistry,HCPCS 84439,Assay of free thyroxine,$27.34,NC
St. Vincent Healthcare,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$49.04,NC
St. Vincent Healthcare,Chemistry,HCPCS 82248,Bilirubin level (Direct),$15.23,NC
St. Vincent Healthcare,Chemistry,HCPCS 82247,Bilirubin level (Total),$43.33,NC
St. Vincent Healthcare,Chemistry,HCPCS 82565,Blood creatinine level,$15.54,NC
St. Vincent Healthcare,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$11.90,NC
St. Vincent Healthcare,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$11.31,NC
St. Vincent Healthcare,Chemistry,HCPCS 84295,Blood sodium level,$14.60,NC
St. Vincent Healthcare,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$13.93,NC
St. Vincent Healthcare,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$50.93,NC
St. Vincent Healthcare,Chemistry,HCPCS 82310,Calcium level,$15.65,NC
St. Vincent Healthcare,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$14.81,NC
St. Vincent Healthcare,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$57.51,NC
St. Vincent Healthcare,Chemistry,HCPCS 82465,Cholesterol level,$13.20,NC
St. Vincent Healthcare,Chemistry,HCPCS 82525,Copper level,$35.18,NC
St. Vincent Healthcare,Chemistry,HCPCS 82533,Cortisol Measurement,$49.42,NC
St. Vincent Healthcare,Chemistry,HCPCS 84681,C-peptide (protein) level,$49.39,NC
St. Vincent Healthcare,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$19.74,NC
St. Vincent Healthcare,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$45.68,NC
St. Vincent Healthcare,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$76.62,NC
St. Vincent Healthcare,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$116.69,NC
St. Vincent Healthcare,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$41.30,NC
St. Vincent Healthcare,Chemistry,HCPCS 82746,Folic acid; serum,$44.56,NC
St. Vincent Healthcare,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$27.58,NC
St. Vincent Healthcare,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$43.58,NC
St. Vincent Healthcare,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$29.40,NC
St. Vincent Healthcare,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$56.32,NC
St. Vincent Healthcare,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$56.14,NC
St. Vincent Healthcare,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$38.12,NC
St. Vincent Healthcare,Chemistry,HCPCS 83718,HDL cholesterol level,$24.82,NC
St. Vincent Healthcare,Chemistry,HCPCS 83020,Hemoglobin Measurement,$30.59,NC
St. Vincent Healthcare,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$51.14,NC
St. Vincent Healthcare,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$64.58,NC
St. Vincent Healthcare,Chemistry,HCPCS 83520,IgE (immune system protein) level,$88.06,NC
St. Vincent Healthcare,Chemistry,HCPCS 83525,Insulin Measurement; Total,$34.65,NC
St. Vincent Healthcare,Chemistry,HCPCS 82330,Ionized Calcium,$41.44,NC
St. Vincent Healthcare,Chemistry,HCPCS 83550,Iron Binding Capacity,$16.45,NC
St. Vincent Healthcare,Chemistry,HCPCS 83540,Iron level,$13.13,NC
St. Vincent Healthcare,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$18.31,NC
St. Vincent Healthcare,Chemistry,HCPCS 83721,LDL cholesterol level,$28.91,NC
St. Vincent Healthcare,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$20.30,NC
St. Vincent Healthcare,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$15.68,NC
St. Vincent Healthcare,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$42.98,NC
St. Vincent Healthcare,Chemistry,HCPCS 83021,Liver function blood test panel,$42.91,NC
St. Vincent Healthcare,Chemistry,HCPCS 83735,Magnesium Level,$20.30,NC
St. Vincent Healthcare,Chemistry,HCPCS 82542,Mass spectrometry,$54.74,NC
St. Vincent Healthcare,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$41.23,NC
St. Vincent Healthcare,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$33.81,NC
St. Vincent Healthcare,Chemistry,HCPCS 83918,Organic acid level,$49.88,NC
St. Vincent Healthcare,Chemistry,HCPCS 83945,Oxalate level,$39.03,NC
St. Vincent Healthcare,Chemistry,HCPCS 83970,Parathormone,$125.13,NC
St. Vincent Healthcare,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$22.40,NC
St. Vincent Healthcare,Chemistry,HCPCS 84157,Prealbumin (protein) level,$11.13,NC
St. Vincent Healthcare,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$40.95,NC
