Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Kenmare Community Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$569.00,ND
Kenmare Community Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,270.00",ND
Kenmare Community Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$182.00,ND
Kenmare Community Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$389.00,ND
Kenmare Community Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$695.00,ND
Kenmare Community Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,160.00",ND
Kenmare Community Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,721.00",ND
Kenmare Community Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$244.00,ND
Kenmare Community Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$244.00,ND
Kenmare Community Hospital,Psychology,HCPCS 90853,Group psychotherapy,$115.00,ND
Kenmare Community Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$246.00,ND
Kenmare Community Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$134.00,ND
Kenmare Community Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$130.00,ND
Kenmare Community Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$138.00,ND
Kenmare Community Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$536.00,ND
Kenmare Community Hospital,Speech,HCPCS 92507,Speech Therapy,$257.00,ND
Kenmare Community Hospital,Speech,HCPCS 92610,Swallow Evaluation,$528.00,ND
Kenmare Community Hospital,Speech,HCPCS 92526,Swallow Treatment,$343.00,ND
Kenmare Community Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$30.00,ND
Kenmare Community Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$34.00,ND
Kenmare Community Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$58.00,ND
Kenmare Community Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$140.00,ND
Kenmare Community Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$43.00,ND
Kenmare Community Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$74.00,ND
Kenmare Community Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$24.00,ND
Kenmare Community Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$89.00,ND
Kenmare Community Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$69.00,ND
Kenmare Community Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$20.00,ND
