Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Upper Connecticut Valley Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,NH
Upper Connecticut Valley Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,NH
Upper Connecticut Valley Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,NH
Upper Connecticut Valley Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,NH
Upper Connecticut Valley Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,NH
Upper Connecticut Valley Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,-,NH
Upper Connecticut Valley Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,-,NH
Upper Connecticut Valley Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,-,NH
Upper Connecticut Valley Hospital,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",-,NH
Upper Connecticut Valley Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,-,NH
Upper Connecticut Valley Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,NH
Upper Connecticut Valley Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,NH
Upper Connecticut Valley Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,NH
Upper Connecticut Valley Hospital,Speech,HCPCS 92507,Speech Therapy,-,NH
Upper Connecticut Valley Hospital,Speech,HCPCS 92610,Swallow Evaluation,-,NH
Upper Connecticut Valley Hospital,Speech,HCPCS 92526,Swallow Treatment,-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS 85610,"Blood test, clotting time",-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,-,NH
Upper Connecticut Valley Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",-,NH
Upper Connecticut Valley Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,NH
Upper Connecticut Valley Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,-,NH
Upper Connecticut Valley Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,NH
Upper Connecticut Valley Hospital,Chemistry,HCPCS 82140,Ammonia level,-,NH
Upper Connecticut Valley Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,NH
Upper Connecticut Valley Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,NH
Upper Connecticut Valley Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,NH
