Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
PMH - East Orange General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$951.44,NJ
PMH - East Orange General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$99.72,NJ
PMH - East Orange General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$99.72,NJ
PMH - East Orange General Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$99.72,NJ
PMH - East Orange General Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$99.72,NJ
PMH - East Orange General Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$99.72,NJ
PMH - East Orange General Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$199.70,NJ
PMH - East Orange General Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$199.70,NJ
PMH - East Orange General Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$199.70,NJ
PMH - East Orange General Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$199.70,NJ
PMH - East Orange General Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$199.70,NJ
PMH - East Orange General Hospital,Psychology,HCPCS 90853,Group psychotherapy,$102.83,NJ
PMH - East Orange General Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$183.55,NJ
PMH - East Orange General Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$183.55,NJ
PMH - East Orange General Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$183.55,NJ
PMH - East Orange General Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$183.55,NJ
PMH - East Orange General Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$2.73,NJ
PMH - East Orange General Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$2.73,NJ
PMH - East Orange General Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$4.93,NJ
PMH - East Orange General Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$6.91,NJ
PMH - East Orange General Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$8.94,NJ
PMH - East Orange General Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$8.94,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 82140,Ammonia level,$16.76,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$7.45,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$29.98,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$7.90,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$5.89,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$5.80,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 84132,Blood potassium level,$5.47,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 84295,Blood sodium level,$5.53,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$19.32,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 82310,Calcium level,$5.93,NJ
PMH - East Orange General Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$13.28,NJ
