Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Encompass Health Rehabilitation Hospital of Albuquerque,Blood,HCPCS 85610,"Blood test, clotting time",$14.25,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$12.75,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$21.00,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$11.25,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$12.75,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.75,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$21.00,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.25,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.00,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$8.25,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,NM
Encompass Health Rehabilitation Hospital of Albuquerque,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$153.75,NM
Encompass Health Rehabilitation Hospital of Albuquerque,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,$477.75,NM
Encompass Health Rehabilitation Hospital of Albuquerque,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",$369.00,NM
Encompass Health Rehabilitation Hospital of Albuquerque,MRI,HCPCS 72148,MRI lumbar spine without contrast material,$307.50,NM
Encompass Health Rehabilitation Hospital of Albuquerque,MRI,HCPCS 70553,MRI scan of brain before and after contrast,$538.50,NM
Encompass Health Rehabilitation Hospital of Albuquerque,MRI,HCPCS 73721,MRI scan of leg joint,$329.25,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$429.75,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,NM
Encompass Health Rehabilitation Hospital of Albuquerque,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$326.25,NM
