Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Lovelace Westside Hospital,Abdomenal,MSDRG 343,Appendectomy (Inpatient),"$17,346.67",NM
Lovelace Westside Hospital,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),"$18,401.36",NM
Lovelace Westside Hospital,Cardiac,MSDRG 227,Cardiac defibrillator implant without cardiac catherization,"$71,285.20",NM
Lovelace Westside Hospital,Cardiac,MSDRG 216,Cardiac valve procedure,"$127,934.82",NM
Lovelace Westside Hospital,Cardiac,MSDRG 234,Coronary bypass with cardiac catheterization,"$87,574.06",NM
Lovelace Westside Hospital,Cardiac,MSDRG 236,Coronary bypass without cardiac catheterization,"$72,266.87",NM
Lovelace Westside Hospital,Cardiac,MSDRG 247,Implant drug-eluting stent,"$26,118.57",NM
Lovelace Westside Hospital,Cardiac,MSDRG 244,Implant Permanent Cardiac Pacemaker,"$21,250.27",NM
Lovelace Westside Hospital,Female Reproductive,MSDRG 743,"Uterine and adnexa procedures, non-malignancy","$18,961.33",NM
Lovelace Westside Hospital,Musculoskeletal,MSDRG 455,Bi-lateral (combined anterior/posterior) spinal fusion,"$57,136.52",NM
Lovelace Westside Hospital,Musculoskeletal,MSDRG 470,Joint replacement (hip or knee),"$29,354.86",NM
Lovelace Westside Hospital,Musculoskeletal,MSDRG 473,Spinal fusion (cervical),"$33,273.13",NM
Lovelace Westside Hospital,Musculoskeletal,MSDRG 460,Spinal fusion (non-cervical),"$47,179.04",NM
Lovelace Westside Hospital,Obstetrics,MSDRG 788,Cesarean Section (C-Section) Delivery of Child,"$12,305.61",NM
Lovelace Westside Hospital,Obstetrics,MSDRG 807,Vaginal Delivery of Child,"$7,787.49",NM
