Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Memorial Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$469.88,NM
Memorial Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$790.65,NM
Memorial Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,199.63",NM
Memorial Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,702.05",NM
Memorial Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,726.85",NM
Memorial Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,$245.18,NM
Memorial Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$855.23,NM
Memorial Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$909.30,NM
Memorial Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$634.73,NM
Memorial Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$337.58,NM
Memorial Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$350.70,NM
Memorial Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$509.25,NM
Memorial Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$200.03,NM
Memorial Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$337.58,NM
Memorial Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$478.28,NM
Memorial Medical Center,Speech,HCPCS 92507,Speech Therapy,$183.75,NM
Memorial Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$513.45,NM
Memorial Medical Center,Speech,HCPCS 92526,Swallow Treatment,$240.98,NM
Memorial Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$38.33,NM
Memorial Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$37.28,NM
Memorial Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$47.25,NM
Memorial Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$177.45,NM
Memorial Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$70.35,NM
Memorial Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$89.25,NM
Memorial Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$27.30,NM
Memorial Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$121.28,NM
Memorial Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$106.05,NM
Memorial Medical Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,$26.25,NM
Memorial Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$75.08,NM
Memorial Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$313.43,NM
