Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Centennial Hills Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,409.96",NV
Centennial Hills Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$199.99,NV
Centennial Hills Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$286.30,NV
Centennial Hills Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$847.25,NV
Centennial Hills Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,268.62",NV
Centennial Hills Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,689.67",NV
Centennial Hills Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$701.57,NV
Centennial Hills Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$483.94,NV
Centennial Hills Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$502.06,NV
Centennial Hills Hospital,Speech,HCPCS 92507,Speech Therapy,$281.34,NV
Centennial Hills Hospital,Speech,HCPCS 92610,Swallow Evaluation,$532.83,NV
Centennial Hills Hospital,Speech,HCPCS 92526,Swallow Treatment,$270.03,NV
Centennial Hills Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$118.03,NV
Centennial Hills Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$114.60,NV
Centennial Hills Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$180.28,NV
Centennial Hills Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$215.42,NV
Centennial Hills Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$220.99,NV
Centennial Hills Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$115.46,NV
Centennial Hills Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$58.86,NV
Centennial Hills Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$358.69,NV
Centennial Hills Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$877.44,NV
Centennial Hills Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$146.86,NV
Centennial Hills Hospital,Chemistry,HCPCS 82140,Ammonia level,$206.20,NV
Centennial Hills Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$42.02,NV
Centennial Hills Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$196.84,NV
Centennial Hills Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$453.83,NV
Centennial Hills Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$106.12,NV
Centennial Hills Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$185.56,NV
Centennial Hills Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$156.25,NV
Centennial Hills Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$131.70,NV
Centennial Hills Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$182.30,NV
Centennial Hills Hospital,Chemistry,HCPCS 84132,Blood potassium level,$130.77,NV
Centennial Hills Hospital,Chemistry,HCPCS 84295,Blood sodium level,$147.65,NV
Centennial Hills Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$293.12,NV
Centennial Hills Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$387.25,NV
Centennial Hills Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$313.88,NV
Centennial Hills Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$379.52,NV
Centennial Hills Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$217.88,NV
Centennial Hills Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$359.17,NV
Centennial Hills Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$398.64,NV
Centennial Hills Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$290.00,NV
Centennial Hills Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$303.12,NV
Centennial Hills Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$386.53,NV
Centennial Hills Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$188.31,NV
Centennial Hills Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$152.29,NV
Centennial Hills Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$284.18,NV
Centennial Hills Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$145.39,NV
Centennial Hills Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$147.03,NV
Centennial Hills Hospital,Chemistry,HCPCS 83540,Iron level,$144.42,NV
Centennial Hills Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$162.31,NV
Centennial Hills Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$206.70,NV
Centennial Hills Hospital,Chemistry,HCPCS 83735,Magnesium Level,$169.59,NV
Centennial Hills Hospital,Chemistry,HCPCS 82542,Mass spectrometry,$250.46,NV
Centennial Hills Hospital,Chemistry,HCPCS 83918,Organic acid level,$282.40,NV
Centennial Hills Hospital,Chemistry,HCPCS 83970,Parathormone,$865.04,NV
Centennial Hills Hospital,Chemistry,HCPCS 84157,Prealbumin (protein) level,$133.96,NV
Centennial Hills Hospital,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$173.26,NV
Centennial Hills Hospital,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$432.67,NV
Centennial Hills Hospital,Chemistry,HCPCS A9270,Selenium (vitamin) level,$30.66,NV
Centennial Hills Hospital,Chemistry,HCPCS 84155,"Total protein level, blood",$103.60,NV
Centennial Hills Hospital,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$168.48,NV
Centennial Hills Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",$202.32,NV
Centennial Hills Hospital,Chemistry,HCPCS 82436,Urine chloride level,$148.28,NV
Centennial Hills Hospital,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$33.11,NV
Centennial Hills Hospital,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$142.66,NV
Centennial Hills Hospital,Chemistry,HCPCS 84133,Urine potassium level,$145.60,NV
Centennial Hills Hospital,Chemistry,HCPCS 84300,Urine sodium level,$145.32,NV
Centennial Hills Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$311.82,NV
